uniprot	genesymbol	consensus_score	generic_categories	all_categories	ligand_uniprot	ligand_symbol	ligand_references
Q8NGM8	OR6M1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
P43627	KIR2DL2	6	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	P04439, P10321	HLA-A, HLA-C	HLA-C [CellChatDB:28484462;Cellinker:30761133;HPRD:10190900;HPRD:10850706;ICELLNET:11955593;ICELLNET:15580655;Lit-BM-17:10850706;Lit-BM-17:18322206], HLA-A [Cellinker:31210416]
Q9H598	SLC32A1	1	receptor, transporter	intracellular, receptor, transmembrane, transporter	NA	NA	NA
Q7Z3F1	GPR155	1	receptor	cell_surface, extracellular, intracellular, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
A0A599	TRBV5-6	1	receptor	plasma_membrane, receptor	NA	NA	NA
Q8WY07	SLC7A3	1	receptor, transporter	cell_surface, extracellular, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
P06733	ENO1	1	receptor	cell_surface, extracellular, intracellular, plasma_membrane, receptor	P04114, P12931, P29466	APOB, CASP1, SRC	CASP1 [SPIKE:17959595], SRC [KEA:15592455;KEA:15951569;KEA:8578591;KEA:96108162;ProtMapper:15212693;ProtMapper:24841372;ProtMapper:7629021;SIGNOR:24841372;SIGNOR:7629021;iPTMnet:24841372;iPTMnet:7629021;iPTMnet:8578591;phosphoELM:8578591], APOB [connectomeDB2020:29997113]
A0A075B7B6	IGHV4OR15-8	1	receptor	receptor	NA	NA	NA
Q9Y3Q7	ADAM18	1	cell_surface_enzyme, receptor	cell_surface, cell_surface_enzyme, ecm_regulator, intracellular, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	NA	NA	NA
P59045	NLRP11	1	receptor	receptor	NA	NA	NA
O15520	FGF10	1	ecm, ligand, receptor	ecm, extracellular, intracellular, ligand, receptor, secreted	P21802, P23771, P31371, Q15475	FGF9, FGFR2, GATA3, SIX1	GATA3 [SPIKE:16806848], SIX1 [SPIKE:12874121], FGF9 [SignaLink3:23331499;SignaLink3:8663044], FGFR2 [HPRD:9582367;Lit-BM-17:10339576;Lit-BM-17:12591959;Lit-BM-17:25241761;Lit-BM-17:9582367]
Q8IY26	PLPP6	2	receptor	intracellular, receptor, transmembrane	P0DP23, P0DP24, P0DP25	CALM1, CALM2, CALM3	CALM2 [CellTalkDB:32196115], CALM1 [NA], CALM3 [NA]
Q8NGB6	OR4M2	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q71H61	ILDR2	1	adhesion, receptor	adhesion, cell_adhesion, intracellular, plasma_membrane, receptor, tight_junction, transmembrane, transmembrane_predicted	O95727, P32927, P35916, Q96ID5	CRTAM, CSF2RB, FLT4, IGSF21	CRTAM [Cellinker:32589946], IGSF21 [Cellinker:32589946], CSF2RB [Cellinker:32589946], FLT4 [Cellinker:32589946]
Q14790	CASP8	1	adhesion, receptor	adhesion, cell_adhesion, intracellular, plasma_membrane, receptor	O00220, O00291, O14763, O14920, O15111, O15519, O43353, O95819, P06241, P06493, P07948, P10144, P10415, P10914, P12931, P19438, P19525, P21127, P27361, P28482, P29350, P42574, P42575, P50591, P51572, P51812, P55212, P55957, P78560, Q05513, Q12933, Q13158, Q13489, Q13490, Q13546, Q15628, Q16539, Q7Z434, Q8WUI4, Q99558, Q9H4B4, Q9NZS9, Q9UKL3, Q9Y6E0	BCAP31, BCL2, BFAR, BID, BIRC2, BIRC3, CASP2, CASP3, CASP6, CASP8AP2, CCNB1_CDK1, CDK1, CDK11B, CFLAR, CHUK, CRADD, EIF2AK2, FADD, FYN, GZMB, HDAC7, HIP1, IKBKB, IRF1, LYN, MAP3K14, MAP4K4, MAPK1, MAPK14, MAPK3, MAVS, PLK3, PRKCZ, PTPN6, RIPK1, RIPK2, RPS6KA3, SRC, STK24, TNFRSF10A, TNFRSF10B, TNFRSF1A, TNFSF10, TRADD, TRAF2	CASP3 [DIP:18669646;HPRD:11437602;InnateDB:15014070;InnateDB:17179148;InnateDB:18458084;InnateDB:9208847;SPIKE:9922454], CASP8AP2 [HPRD:10235259;HPRD:11340079;IntAct:10235259;IntAct:17245429;Lit-BM-17:10235259;Lit-BM-17:17245429;SPIKE:10235259], CASP6 [ACSN:11788820;HPRD:12232792;SIGNOR:11455969], BID [HPRD:11085743;HPRD:12097160;HPRD:12196516;HPRD:9727491;HPRD:9727492;InnateDB:18458084;Macrophage:9727491;Macrophage:9727492], IRF1 [SPIKE:14993214;SPIKE:19129219], CASP2 [SPIKE:15262979;SPIKE:16193064], RIPK1 [ACSN:10521396;ACSN:11788820;ACSN:19935698;ACSN:20125124;CancerCellMap:11002422;CancerCellMap:12887920;HPRD:10521396;HPRD:11002417;HPRD:12215447;InnateDB:11002417;InnateDB:17047155;InnateDB:18570872;InnateDB:21419663;InnateDB:22421964;IntAct:12884866;IntAct:12887920;IntAct:21458669;IntAct:21525013;NetPath:12887920;NetPath:19524512;NetPath:20203691;NetPath:21525013;NetPath:21741934;SIGNOR:12887920;SIGNOR:21525013], CFLAR [BioGRID:12215447;BioGRID:19710364;CA1:9217161;DIP:19416807;HPRD:12097160;HPRD:12215447;HPRD:17159907;HPRD:9208847;HPRD:9289491;HPRD:9380701;InnateDB:12097160;InnateDB:15024054;InnateDB:17047155;InnateDB:22421964;InnateDB:9208847;InnateDB:9380701;IntAct:19416807;IntAct:24438025;Lit-BM-17:11741985;Lit-BM-17:12215447;Lit-BM-17:12887920;Lit-BM-17:15280356;Lit-BM-17:17047155;Lit-BM-17:17159907;Lit-BM-17:19343040;Lit-BM-17:19710364;Lit-BM-17:21737329;Lit-BM-17:21737330;Lit-BM-17:22864571;Lit-BM-17:24438025;Lit-BM-17:26186194;Lit-BM-17:9208847;Lit-BM-17:9228018;Lit-BM-17:9289491;Lit-BM-17:9326610;NetPath:12887920;SIGNOR:14585074;SIGNOR:9794838;SPIKE:9880531], FADD [ACSN:10521396;ACSN:11788820;ACSN:19935698;ACSN:20125124;BioGRID:14612908;BioGRID:21525013;BioGRID:8681376;CA1:8681377;CancerCellMap:12887920;HPRD:11717445;HPRD:12107169;HPRD:17159907;HPRD:17290218;HPRD:8681376;InnateDB:12220669;InnateDB:16410793;InnateDB:17047155;InnateDB:22421964;InnateDB:9774341;IntAct:11717445;IntAct:14612908;IntAct:17159907;IntAct:18485876;IntAct:19060883;IntAct:21785459;IntAct:21988832;IntAct:25043603;IntAct:9343261;Lit-BM-17:11717445;Lit-BM-17:12107169;Lit-BM-17:12702723;Lit-BM-17:12887920;Lit-BM-17:12911633;Lit-BM-17:14612908;Lit-BM-17:15280356;Lit-BM-17:15659383;Lit-BM-17:17047155;Lit-BM-17:17159907;Lit-BM-17:18485876;Lit-BM-17:19060883;Lit-BM-17:19176810;Lit-BM-17:19524512;Lit-BM-17:20103630;Lit-BM-17:20448643;Lit-BM-17:20829884;Lit-BM-17:21458669;Lit-BM-17:21525013;Lit-BM-17:21620750;Lit-BM-17:21737329;Lit-BM-17:21737330;Lit-BM-17:21785459;Lit-BM-17:21988832;Lit-BM-17:22173242;Lit-BM-17:22179575;Lit-BM-17:22274400;Lit-BM-17:22864571;Lit-BM-17:23142077;Lit-BM-17:23972990;Lit-BM-17:24098568;Lit-BM-17:25043603;Lit-BM-17:25911380;Lit-BM-17:25939870;Lit-BM-17:26437781;Lit-BM-17:26972597;Lit-BM-17:27321185;Lit-BM-17:27552911;Lit-BM-17:27560715;Lit-BM-17:8681376;Lit-BM-17:9228018;NetPath:12887920;NetPath:19524512;NetPath:20203691;NetPath:20448643;NetPath:21525013;NetPath:21741934;SIGNOR:11717445;SPIKE:8681376], BCAP31 [CA1:9334338;HPRD:12668660;HPRD:9334338], TNFRSF1A [InnateDB:15357952;Macrophage:12887920;Macrophage:15725726;Macrophage:8875942;NetPath:21741934], MAPK14 [InnateDB:14970175;KEA:14970175;PhosphoSite:14970175;ProtMapper:14970175;SIGNOR:14970175;iPTMnet:14970175;phosphoELM:14970175], MAVS [InnateDB:21419663;SIGNOR:16406812], BFAR [HPRD:10716992;SIGNOR:11733517], CASP6 [SIGNOR:11455969], CDK1 [ELM:20937773;ProtMapper:20937773;SIGNOR:20937773;dbPTM:20937773;iPTMnet:20937773], SRC [ProtMapper:16619028;ProtMapper:19383910;ProtMapper:19470771;ProtMapper:22074016;ProtMapper:24100030;ProtMapper:27109099;ProtMapper:27195913;ProtMapper:27432652;ProtMapper:30501030;SIGNOR:16619028;iPTMnet:16619028;iPTMnet:24100030], MAPK3 [DOMINO:17290218;HPRD:17290218;PhosphoSite:20937773;PhosphoSite:24342355;PhosphoSite:24484936;PhosphoSite:26036637;PhosphoSite:29233910;ProtMapper:24342355;SIGNOR:24342355;iPTMnet:24342355], MAPK1 [Adhesome:17290218;DOMINO:17290218;HPRD:17290218;ProtMapper:24342355;SIGNOR:24342355;iPTMnet:24342355], PTPN6 [Adhesome:18086677;DEPOD:18086677;ProtMapper:18086677;SIGNOR:18086677], TRADD [ACSN:10521396;ACSN:11788820;ACSN:19935698;ACSN:20125124;CancerCellMap:12887920;InnateDB:15173123;InnateDB:17047155;InnateDB:22421964;NetPath:12887920;NetPath:20203691;NetPath:21741934;SIGNOR:14585074], FYN [Adhesome:10435619;HPRD:10435619], LYN [PhosphoSite:16619028;PhosphoSite:18086677;PhosphoSite:18089778;PhosphoSite:18216014;PhosphoSite:18974049;PhosphoSite:19851329;PhosphoSite:27109099;ProtMapper:18086677;ProtMapper:22074016], PLK3 [PhosphoSite:27325299;PhosphoSite:27462786;PhosphoSite:28405521;PhosphoSite:31475104;ProtMapper:27325299;ProtMapper:27462786], EIF2AK2 [HPRD:11555640], RPS6KA3 [ProtMapper:21183680;ProtMapper:23936765;iPTMnet:21183680], BCL2 [BioGRID:11406564;HPRD:11406564;Lit-BM-17:11406564;Lit-BM-17:16183855], TRAF2 [BioGRID:30054040;CancerCellMap:12887920;HPRD:11340079;HPRD:16227629;InnateDB:17047155;InnateDB:22421964;NetPath:12887920;NetPath:20203691;NetPath:21741934], MAP3K14 [CancerCellMap:10753878;HPRD:11002417;InnateDB:11002417], BIRC2 [NetPath:12887920], IKBKB [HPRD:11002417;InnateDB:11002417], TNFSF10 [InnateDB:10894161;IntAct:23678861;ProtMapper:27821809], CHUK [HPRD:11002417;InnateDB:11002417], HDAC7 [InnateDB:18458084], GZMB [InnateDB:15569669;InnateDB:17283187;InnateDB:19103589], TNFRSF10A [HPRD:12218097;InnateDB:10894161;InnateDB:17047155;InnateDB:17898872;InnateDB:22421964;IntAct:19427028;IntAct:21785459], TNFRSF10B [HPRD:12218097;InnateDB:12721308;InnateDB:17047155;InnateDB:22421964], BIRC3 [InnateDB:22421964], CRADD [HPRD:11002417], RIPK2 [HPRD:9575181], MAP4K4 [HPRD:11002417], HIP1 [ACSN:11788820;HPRD:11788820], CDK11B [HPRD:9632733], STK24 [HPRD:12107159], PRKCZ [HPRD:11016947]
P08684	CYP3A4	1	receptor	intracellular, receptor, transmembrane, transmembrane_predicted	P11473, P17252	PRKCA, VDR	VDR [SPIKE:11991950], PRKCA [PhosphoSite:19095658;PhosphoSite:22101235;PhosphoSite:25451919]
Q08357	SLC20A2	2	receptor, transporter	cell_surface, intracellular, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
Q8NGW3	NA	1	receptor	receptor	NA	NA	NA
Q9UKL2	OR52A1	5	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
O75882	ATRN	12	receptor	cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P42127	ASIP	ASIP [Baccin2019:11137996;CellTalkDB:11137996;Cellinker:11137996;HPMR:11137996;LRdb:11137996;SIGNOR:11137996;connectomeDB2020:11137996]
Q9NPR9	GPR108	1	receptor	cell_surface, extracellular, intracellular, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
P06493	CDK1	1	receptor	intracellular, receptor	O75293, O95257, O95835, P04626, P04637, P06748, P07948, P08069, P10244, P12931, P19525, P19784, P23443, P24522, P28482, P30291, P30304, P30305, P30307, P38936, P46527, P49841, P50613, P51812, P61024, P62714, P67775, P68400, P78344, Q01094, Q01538, Q08050, Q08345, Q13526, Q16254, Q96JB5, Q99640, Q9H4X1, Q9UL68	CDC25A, CDC25B, CDC25C, CDK5RAP3, CDK7, CDKN1A, CDKN1B, CKS1B, CSNK2A1, CSNK2A2, DDR1, E2F1, E2F4, EIF2AK2, EIF4G2, ERBB2, FOXM1, GADD45A, GADD45B, GADD45G, GSK3B, IGF1R, LATS1, LYN, MAPK1, MYBL2, MYT1, MYT1L, NPM1, PIN1, PKMYT1, PPP2CA, PPP2CB, RGCC, RPS6KA3, RPS6KB1, SRC, TP53, WEE1	CDKN1A [HPRD:9467962;IntAct:24218572;Lit-BM-17:17679094;Lit-BM-17:21308745;Lit-BM-17:23602568;Lit-BM-17:24218572;Lit-BM-17:26186194;Lit-BM-17:26496610;ProtMapper:12973835;SIGNOR:15340381;SPIKE:15077146], E2F1 [ACSN:15510213;HPRD:8087847;SPIKE:18319725;SPIKE:20224733], WEE1 [HPRD-phos:10564259;HPRD-phos:16497976;HPRD-phos:17016520;HPRD-phos:18452278;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19651622;HPRD-phos:19901323;HPRD-phos:20058876;HPRD-phos:20068231;HPRD-phos:8084605;HPRD:10564259;HPRD:12186947;HPRD:8428596;HPRD:9268380;KEA:10564259;KEA:12186947;KEA:15592455;KEA:15964826;KEA:16083285;KEA:17192257;KEA:7743995;KEA:8084605;KEA:8428596;KEA:8578591;KEA:9001210;KEA:9268380;KEA:96108162;ProtMapper:10209262;ProtMapper:10896159;ProtMapper:11202906;ProtMapper:11527575;ProtMapper:11730318;ProtMapper:11751453;ProtMapper:11807090;ProtMapper:1384126;ProtMapper:14972559;ProtMapper:15350223;ProtMapper:15837193;ProtMapper:16096060;ProtMapper:17480229;ProtMapper:17718912;ProtMapper:18378775;ProtMapper:18385244;ProtMapper:18469858;ProtMapper:19305423;ProtMapper:19821025;ProtMapper:20347419;ProtMapper:20406171;ProtMapper:20465818;ProtMapper:20498628;ProtMapper:20530684;ProtMapper:20609246;ProtMapper:20813250;ProtMapper:21389100;ProtMapper:21660227;ProtMapper:22494620;ProtMapper:22546375;ProtMapper:22709126;ProtMapper:22770610;ProtMapper:22836368;ProtMapper:23166842;ProtMapper:23410205;ProtMapper:23494566;ProtMapper:23537585;ProtMapper:23727417;ProtMapper:24136233;ProtMapper:24143279;ProtMapper:24415942;ProtMapper:24536047;ProtMapper:24630986;ProtMapper:24651440;ProtMapper:24666614;ProtMapper:24716182;ProtMapper:24927813;ProtMapper:24970150;ProtMapper:25174607;ProtMapper:25283841;ProtMapper:25301733;ProtMapper:25344910;ProtMapper:25361894;ProtMapper:25458954;ProtMapper:25609063;ProtMapper:25733813;ProtMapper:25774168;ProtMapper:26006103;ProtMapper:26025928;ProtMapper:26057002;ProtMapper:26081366;ProtMapper:26131711;ProtMapper:26658951;ProtMapper:26804466;ProtMapper:26899266;ProtMapper:27196765;ProtMapper:27196784;ProtMapper:27532275;ProtMapper:27669826;ProtMapper:27878946;ProtMapper:28126323;ProtMapper:28264028;ProtMapper:28396830;ProtMapper:28539822;ProtMapper:28928160;ProtMapper:29044141;ProtMapper:29217775;ProtMapper:29500418;ProtMapper:29930204;ProtMapper:7743995;ProtMapper:7749193;ProtMapper:7774574;ProtMapper:8428596;ProtMapper:8972180;ProtMapper:9552418;SIGNOR:16096060;SPIKE:18285803;iPTMnet:10564259;iPTMnet:16096060;iPTMnet:16497976;iPTMnet:17016520;iPTMnet:18452278;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19651622;iPTMnet:19901323;iPTMnet:20058876;iPTMnet:20068231;iPTMnet:7743995;iPTMnet:7774574;iPTMnet:8084605;phosphoELM:7743995], CDK5RAP3 [SPIKE:19223857], GADD45A [BioGRID:12124778;BioGRID:18942077;DIP:10362260;DIP:10973963;HPRD:10362260;HPRD:10973963;SIGNOR:10362260;SPIKE:12124778], CDC25A [DEPOD:1825803;DEPOD:1828290;DEPOD:1913817;DEPOD:8617791;ELM:12411508;HPRD:12411508;ProtMapper:10454565;SIGNOR:10454565;SPIKE:19364923;SPIKE:20360007], CDC25B [DEPOD:8440392;DEPOD:8617791;HPRD:12107172;HPRD:8440392;HPRD:9141461;HPRD:9268380;HPRD:9585407;HPRD:9733650;ProtMapper:15350223;SIGNOR:7880537;SPIKE:9281587], CSNK2A1 [BioGRID:1400350;BioGRID:16371510;HPRD-phos:1400350;HPRD-phos:18691976;HPRD:1400350;HPRD:7592773;KEA:1400350;PhosphoSite:1400350;PhosphoSite:15788687;ProtMapper:10998356;ProtMapper:15788687;SIGNOR:15788687;iPTMnet:1400350;iPTMnet:15788687;iPTMnet:18691976;phosphoELM:1400350], E2F4 [ACSN:15510213;ACSN:16135806;SPIKE:15510213], MYBL2 [SPIKE:15510213], MAPK1 [SPIKE:17205132], GSK3B [SPIKE:17359287;SPIKE:9832503], PKMYT1 [ACSN:10373560;ACSN:10504341;ACSN:12738781;ACSN:12814430;ACSN:9001210;HPRD-phos:16497976;HPRD-phos:17016520;HPRD-phos:18452278;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19651622;HPRD-phos:19901323;HPRD-phos:20058876;HPRD-phos:20068230;HPRD-phos:20068231;HPRD-phos:8084605;HPRD-phos:9001210;HPRD-phos:9268380;HPRD:10373560;HPRD:10504341;HPRD:12912980;HPRD:9001210;HPRD:9268380;IntAct:10373560;KEA:10564259;KEA:12186947;KEA:12912980;KEA:15592455;KEA:15964826;KEA:16083285;KEA:7743995;KEA:8084605;KEA:8428596;KEA:9001210;KEA:9268380;KEA:96108162;ProtMapper:10209160;ProtMapper:11202906;ProtMapper:11730318;ProtMapper:12049736;ProtMapper:14972559;ProtMapper:17480229;ProtMapper:20419782;ProtMapper:22494620;ProtMapper:23166842;ProtMapper:24630986;ProtMapper:24651440;ProtMapper:25344910;ProtMapper:25435947;ProtMapper:25609063;ProtMapper:26131711;ProtMapper:26899266;ProtMapper:28539822;ProtMapper:9001210;ProtMapper:9552418;SIGNOR:9001210;SPIKE:9001210;dbPTM:15592455;dbPTM:15951569;dbPTM:16083285;dbPTM:17192257;dbPTM:17487921;dbPTM:18083107;dbPTM:18669648;dbPTM:18691976;dbPTM:19369195;dbPTM:19413330;dbPTM:19534553;dbPTM:19690332;dbPTM:19917613;dbPTM:20360007;dbPTM:7569953;iPTMnet:16497976;iPTMnet:17016520;iPTMnet:18452278;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19651622;iPTMnet:19901323;iPTMnet:20058876;iPTMnet:20068230;iPTMnet:20068231;iPTMnet:8084605;iPTMnet:9001210;iPTMnet:9268380], ERBB2 [PhosphoSite:10504341;PhosphoSite:10770932;PhosphoSite:11322924;PhosphoSite:11782384;PhosphoSite:11836499;PhosphoSite:12110582;PhosphoSite:12384528;PhosphoSite:12766774;PhosphoSite:14681223;PhosphoSite:14767478;PhosphoSite:14987992;PhosphoSite:15136770;PhosphoSite:15141014;PhosphoSite:15296723;PhosphoSite:15350223;PhosphoSite:15582998;PhosphoSite:15940258;PhosphoSite:16546994;PhosphoSite:17276342;PhosphoSite:17396146;PhosphoSite:17409144;PhosphoSite:17466629;PhosphoSite:17466630;PhosphoSite:17938195;PhosphoSite:18393321;PhosphoSite:18469858;PhosphoSite:1850698;PhosphoSite:18927589;PhosphoSite:19276355;PhosphoSite:19683496;PhosphoSite:19858290;PhosphoSite:19933706;PhosphoSite:20368335;PhosphoSite:20372791;PhosphoSite:20530684;PhosphoSite:24391510;PhosphoSite:24910099;PhosphoSite:25744022;PhosphoSite:25994202;PhosphoSite:26673326;PhosphoSite:27889260;PhosphoSite:29088738;PhosphoSite:7743995;PhosphoSite:7841526;PhosphoSite:8428596;PhosphoSite:8662825;PhosphoSite:9268380;ProtMapper:12049736;ProtMapper:19861462;ProtMapper:20144215;ProtMapper:28335434;SIGNOR:12049736;SPIKE:12049736;iPTMnet:12049736], EIF4G2 [SPIKE:18450493], CKS1B [BioGRID:9774639;DIP:7809159;IntAct:25416956;Lit-BM-17:18471975;Lit-BM-17:19786724;Lit-BM-17:23602568;Lit-BM-17:25852190;Lit-BM-17:26186194;Lit-BM-17:26496610;Lit-BM-17:7809159;Lit-BM-17:9774639;SPIKE:20015071], RGCC [HPRD:11687586;ProtMapper:30280101;SIGNOR:11687586], CDK7 [ACSN:11900249;ACSN:12459251;ACSN:12648680;ACSN:12814430;ACSN:15703371;ACSN:16697054;ACSN:17386261;ACSN:17884153;ACSN:19667075;ACSN:19809470;ACSN:19847258;ACSN:7533895;ACSN:7799941;DIP:16327805;HPRD-phos:16565220;HPRD-phos:17924679;HPRD-phos:18452278;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:18767875;HPRD-phos:19651622;HPRD-phos:19664995;HPRD-phos:20068231;HPRD-phos:7944411;HPRD:11113184;HPRD:7944411;KEA:16565220;KEA:7944411;KEA:8344251;PhosphoSite:10913154;PhosphoSite:12663041;PhosphoSite:14988404;PhosphoSite:1532335;PhosphoSite:15868411;PhosphoSite:17554681;PhosphoSite:1833185;PhosphoSite:19158392;PhosphoSite:20360007;PhosphoSite:21900495;PhosphoSite:25849598;PhosphoSite:26881937;PhosphoSite:31429764;PhosphoSite:33574676;PhosphoSite:33657372;PhosphoSite:34370741;PhosphoSite:34489572;PhosphoSite:8441405;ProtMapper:19707596;ProtMapper:20347419;ProtMapper:20360007;ProtMapper:21468563;ProtMapper:21778139;ProtMapper:21900495;ProtMapper:22263797;ProtMapper:22425727;ProtMapper:24970150;ProtMapper:27303922;ProtMapper:27908669;ProtMapper:29435156;ProtMapper:29793495;ProtMapper:8344251;ProtMapper:8548828;SIGNOR:8344251;dbPTM:16565220;dbPTM:17924679;dbPTM:18220336;dbPTM:18691976;dbPTM:19369195;dbPTM:19690332;dbPTM:20360007;iPTMnet:10913154;iPTMnet:16327805;iPTMnet:16565220;iPTMnet:17924679;iPTMnet:18452278;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:18767875;iPTMnet:19651622;iPTMnet:19664995;iPTMnet:20068231;iPTMnet:22505032;iPTMnet:7944411;iPTMnet:8344251;phosphoELM:8344251], CDC25C [BioGRID:10864927;CancerCellMap:12036951;DEPOD:1312880;HPRD-phos:11836499;HPRD-phos:8440392;HPRD-phos:9141461;HPRD-phos:9268380;HPRD-phos:9585407;HPRD-phos:9733650;HPRD:11836499;HPRD:17349584;HPRD:8119945;HPRD:8440392;HPRD:9141461;HPRD:9268380;HPRD:9585407;HPRD:9733650;ProtMapper:10913154;ProtMapper:19574738;SIGNOR:19574738], TP53 [BioGRID:11327730;DIP:9467949;ELM:2141171;HPRD:11327730], NPM1 [ELM:12058066;HPRD:11278991;HPRD:12058066;SIGNOR:19933706], RPS6KB1 [HPRD:12586835;HPRD:9271440], FOXM1 [HPRD:15024056;InnateDB:15024056], EIF2AK2 [PhosphoSite:20395957;ProtMapper:20395957;ProtMapper:25149538;SIGNOR:20395957;iPTMnet:20395957], LATS1 [BioGRID:12372621;BioGRID:25218637;HPRD:12372621;HPRD:9988268;IntAct:9988268;Lit-BM-17:12372621;Lit-BM-17:25218637;Lit-BM-17:9988268], CDKN1B [SIGNOR:15340381], PPP2CA [DEPOD:1846321], PPP2CB [DEPOD:1846321], DDR1 [dbPTM:16565220;dbPTM:17924679;dbPTM:18220336;dbPTM:18691976;dbPTM:19369195;dbPTM:19690332;dbPTM:20360007], LYN [BioGRID:8910336;HPRD-phos:10564259;HPRD-phos:16497976;HPRD-phos:17016520;HPRD-phos:18452278;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19651622;HPRD-phos:19901323;HPRD-phos:20058876;HPRD-phos:20068231;HPRD-phos:8084605;HPRD:10564259;HPRD:8051175;HPRD:8084605;HPRD:8910336;KEA:10564259;KEA:12186947;KEA:15592455;KEA:15964826;KEA:16083285;KEA:7743995;KEA:8084605;KEA:8428596;KEA:9001210;KEA:9268380;KEA:96108162;ProtMapper:7530044;ProtMapper:8084605;iPTMnet:10564259;iPTMnet:16497976;iPTMnet:17016520;iPTMnet:18452278;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19651622;iPTMnet:19901323;iPTMnet:20058876;iPTMnet:20068231;iPTMnet:7530044;iPTMnet:8084605], MYT1 [HPRD-phos:18452278;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19651622;HPRD-phos:19901323;HPRD-phos:20068230;HPRD-phos:20068231;HPRD-phos:9001210;HPRD-phos:9268380;HPRD:9001210;HPRD:9268380;InnateDB:10504341;KEA:12912980;KEA:16083285;KEA:9001210;KEA:9268380;ProtMapper:10209160;ProtMapper:11202906;ProtMapper:11730318;ProtMapper:14972559;ProtMapper:15837193;ProtMapper:17480229;ProtMapper:17718912;ProtMapper:18378775;ProtMapper:20362450;ProtMapper:20419782;ProtMapper:20530684;ProtMapper:20798132;ProtMapper:22621333;ProtMapper:22709126;ProtMapper:22836368;ProtMapper:23301080;ProtMapper:23410205;ProtMapper:23494566;ProtMapper:24136233;ProtMapper:24143279;ProtMapper:24651440;ProtMapper:25301733;ProtMapper:25344910;ProtMapper:25435947;ProtMapper:25609063;ProtMapper:25733813;ProtMapper:26658951;ProtMapper:27170181;ProtMapper:27669826;ProtMapper:28264028;ProtMapper:9552418;iPTMnet:18452278;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19651622;iPTMnet:19901323;iPTMnet:20068230;iPTMnet:20068231;iPTMnet:9001210;iPTMnet:9268380], RPS6KA3 [KEA:17570479], SRC [KEA:17570479], CSNK2A2 [KEA:1400350], IGF1R [KEA:17570479], MYT1L [KEA:12912980;KEA:16083285;KEA:9001210;KEA:9268380], GADD45G [DIP:10973963;HPRD:10973963], GADD45B [DIP:10973963;HPRD:10973963], PIN1 [HPRD:11774038]
Q15120	PDK3	1	receptor	intracellular, receptor	NA	NA	NA
