UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
O15164	NA	NA	NA	COILED 289..359;  /evidence=ECO:0000255	COMPBIAS 431..456;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 499..525;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 526..540;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 648..671;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 680..706;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 766..806;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 932..987;  /note=Bromo;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00035	MOTIF 891..907;  /note=Nuclear localization signal;  /evidence=ECO:0000255	REGION 15..44;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 429..456;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 476..550;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 571..594;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 643..712;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 754..779;  /note=Nuclear receptor binding site (NRBS); REGION 766..824;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 834..840;  /note=Interaction with histone H3 that is not methylated at 'Lys-4' (H3K4me0); REGION 979..980;  /note=Interaction with histone H3 that is acetylated at 'Lys-23' (H3K23ac); REGION 1011..1036;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	ZN_FING 56..82;  /note=RING-type;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00175; ZN_FING 158..211;  /note=B box-type 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00024; ZN_FING 218..259;  /note=B box-type 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00024; ZN_FING 826..873;  /note=PHD-type;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00146
Q8IWL2	NA	SIMILARITY: Belongs to the SFTPA family. {ECO:0000305}.	SFTPA family	NA	COMPBIAS 55..76;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 28..100;  /note=Collagen-like; DOMAIN 132..248;  /note=C-type lectin;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00040	NA	REGION 31..101;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P10124	NA	SIMILARITY: Belongs to the serglycin family. {ECO:0000305}.	Serglycin family	NA	NA	NA	NA	REGION 94..111;  /note=9 X 2 AA tandem repeats of [SF]-G; REGION 134..158;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 94..95;  /note=1; REPEAT 96..97;  /note=2; REPEAT 98..99;  /note=3; REPEAT 100..101;  /note=4; REPEAT 102..103;  /note=5; REPEAT 104..105;  /note=6; REPEAT 106..107;  /note=7; REPEAT 108..109;  /note=8; REPEAT 110..111;  /note=9	NA
P13674	NA	SIMILARITY: Belongs to the P4HA family. {ECO:0000305}.	P4HA family	NA	NA	DOMAIN 411..519;  /note=Fe2OG dioxygenase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00805	NA	NA	REPEAT 205..238;  /note=TPR	NA
Q13162	NA	SIMILARITY: Belongs to the peroxiredoxin family. AhpC/Prx1 subfamily. {ECO:0000305}.	Peroxiredoxin family, AhpC/Prx1 subfamily	NA	NA	DOMAIN 79..237;  /note=Thioredoxin;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00691	NA	NA	NA	NA
P48960	DOMAIN: The first two EGF domains mediate the interaction with DAF. A third tandemly arranged EGF domain is necessary for the structural integrity of the binding region.; DOMAIN: Binding to chondroitin sulfate is mediated by the fourth EGF domain.	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. LN-TM7 subfamily. {ECO:0000305}.	G-protein coupled receptor 2 family, LN-TM7 subfamily	NA	NA	DOMAIN 22..63;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 64..115;  /note=EGF-like 2; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 116..159;  /note=EGF-like 3; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 160..208;  /note=EGF-like 4; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 209..257;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 492..542;  /note=GPS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00098	NA	REGION 814..835;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6NSX1	NA	NA	NA	COILED 140..164;  /evidence=ECO:0000255	NA	NA	NA	NA	NA	NA
Q07954	NA	SIMILARITY: Belongs to the LDLR family. {ECO:0000305}.	LDLR family	NA	NA	DOMAIN 25..66;  /note=LDL-receptor class A 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 70..110;  /note=LDL-receptor class A 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 111..149;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 150..189;  /note=EGF-like 2; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 474..520;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 803..843;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 852..892;  /note=LDL-receptor class A 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 893..933;  /note=LDL-receptor class A 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 934..973;  /note=LDL-receptor class A 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 974..1013;  /note=LDL-receptor class A 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 1013..1053;  /note=LDL-receptor class A 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 1060..1099;  /note=LDL-receptor class A 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 1102..1142;  /note=LDL-receptor class A 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 1143..1182;  /note=LDL-receptor class A 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 1183..1222;  /note=EGF-like 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1223..1262;  /note=EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1536..1579;  /note=EGF-like 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1846..1887;  /note=EGF-like 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 2155..2195;  /note=EGF-like 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 2478..2518;  /note=EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 2522..2563;  /note=LDL-receptor class A 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2564..2602;  /note=LDL-receptor class A 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2603..2641;  /note=LDL-receptor class A 13;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2642..2690;  /note=LDL-receptor class A 14;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2694..2732;  /note=LDL-receptor class A 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2732..2771;  /note=LDL-receptor class A 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2772..2814;  /note=LDL-receptor class A 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2816..2855;  /note=LDL-receptor class A 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2856..2899;  /note=LDL-receptor class A 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2902..2940;  /note=LDL-receptor class A 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 2941..2981;  /note=EGF-like 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 2982..3022;  /note=EGF-like 12; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 3290..3331;  /note=EGF-like 13;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 3332..3371;  /note=LDL-receptor class A 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3372..3410;  /note=LDL-receptor class A 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3411..3450;  /note=LDL-receptor class A 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3451..3491;  /note=LDL-receptor class A 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3492..3533;  /note=LDL-receptor class A 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3534..3572;  /note=LDL-receptor class A 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3573..3611;  /note=LDL-receptor class A 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3611..3649;  /note=LDL-receptor class A 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3652..3692;  /note=LDL-receptor class A 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3693..3733;  /note=LDL-receptor class A 30;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3739..3778;  /note=LDL-receptor class A 31;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00124; DOMAIN 3781..3823;  /note=EGF-like 14;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 3824..3861;  /note=EGF-like 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4147..4183;  /note=EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4196..4232;  /note=EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4232..4268;  /note=EGF-like 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4268..4304;  /note=EGF-like 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4304..4340;  /note=EGF-like 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4340..4375;  /note=EGF-like 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 4373..4409;  /note=EGF-like 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	MOTIF 3940..3943;  /note=Recognition site for proteolytical processing;  /evidence=ECO:0000255; MOTIF 4502..4507;  /note=NPXY motif	REGION 4445..4544;  /note=Interaction with MAFB;  /evidence=ECO:0000250|UniProtKB:Q91ZX7	REPEAT 292..334;  /note=LDL-receptor class B 1; REPEAT 335..378;  /note=LDL-receptor class B 2; REPEAT 379..422;  /note=LDL-receptor class B 3; REPEAT 571..613;  /note=LDL-receptor class B 4; REPEAT 614..659;  /note=LDL-receptor class B 5; REPEAT 660..710;  /note=LDL-receptor class B 6; REPEAT 711..754;  /note=LDL-receptor class B 7; REPEAT 1309..1355;  /note=LDL-receptor class B 8; REPEAT 1356..1398;  /note=LDL-receptor class B 9; REPEAT 1399..1445;  /note=LDL-receptor class B 10; REPEAT 1446..1490;  /note=LDL-receptor class B 11; REPEAT 1491..1531;  /note=LDL-receptor class B 12; REPEAT 1627..1669;  /note=LDL-receptor class B 13; REPEAT 1670..1713;  /note=LDL-receptor class B 14; REPEAT 1714..1753;  /note=LDL-receptor class B 15; REPEAT 1754..1798;  /note=LDL-receptor class B 16; REPEAT 1934..1976;  /note=LDL-receptor class B 17; REPEAT 1977..2019;  /note=LDL-receptor class B 18; REPEAT 2020..2063;  /note=LDL-receptor class B 19; REPEAT 2064..2107;  /note=LDL-receptor class B 20; REPEAT 2253..2294;  /note=LDL-receptor class B 21; REPEAT 2295..2343;  /note=LDL-receptor class B 22; REPEAT 2344..2388;  /note=LDL-receptor class B 23; REPEAT 2389..2431;  /note=LDL-receptor class B 24; REPEAT 2432..2473;  /note=LDL-receptor class B 25; REPEAT 3069..3113;  /note=LDL-receptor class B 26; REPEAT 3114..3156;  /note=LDL-receptor class B 27; REPEAT 3157..3200;  /note=LDL-receptor class B 28; REPEAT 3201..3243;  /note=LDL-receptor class B 29; REPEAT 3244..3284;  /note=LDL-receptor class B 30; REPEAT 3912..3954;  /note=LDL-receptor class B 31; REPEAT 3970..4012;  /note=LDL-receptor class B 32; REPEAT 4013..4056;  /note=LDL-receptor class B 33; REPEAT 4057..4101;  /note=LDL-receptor class B 34	NA
Q5TC12	NA	SIMILARITY: Belongs to the ATP11 family. {ECO:0000305}.	ATP11 family	NA	NA	NA	NA	NA	NA	NA
Q03692	NA	NA	NA	NA	COMPBIAS 63..83;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 93..107;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 134..151;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 410..424;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 450..476;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 488..519;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 547..680;  /note=C1q;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00368	NA	REGION 19..56;  /note=Nonhelical region (NC2); REGION 55..523;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 57..519;  /note=Triple-helical region; REGION 520..680;  /note=Nonhelical region (NC1)	NA	NA
P05543	NA	SIMILARITY: Belongs to the serpin family. {ECO:0000305}.	Serpin family	NA	NA	NA	NA	NA	NA	NA
Q9NP90	NA	SIMILARITY: Belongs to the small GTPase superfamily. Rab family. {ECO:0000305}.	Small GTPase superfamily, Rab family	NA	NA	NA	MOTIF 36..44;  /note=Effector region;  /evidence=ECO:0000250	NA	NA	NA
P98066	NA	NA	NA	NA	NA	DOMAIN 36..129;  /note=Link;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00323; DOMAIN 135..247;  /note=CUB;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059	NA	NA	NA	NA
Q8NER5	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 165..194;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 195..485;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
Q9BZM1	NA	SIMILARITY: Belongs to the phospholipase A2 family. {ECO:0000305}.	Phospholipase A2 family	NA	NA	NA	NA	NA	NA	NA
P04003	NA	NA	NA	NA	NA	DOMAIN 49..110;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 111..172;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 173..236;  /note=Sushi 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 237..296;  /note=Sushi 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 297..362;  /note=Sushi 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 363..424;  /note=Sushi 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 425..482;  /note=Sushi 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 483..540;  /note=Sushi 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	NA	NA	NA
P20851	NA	NA	NA	NA	NA	DOMAIN 21..78;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 79..136;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 137..193;  /note=Sushi 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	NA	NA	NA
Q8IZ52	NA	SIMILARITY: Belongs to the chondroitin N-acetylgalactosaminyltransferase family. {ECO:0000305}.	Chondroitin N-acetylgalactosaminyltransferase family	NA	NA	NA	NA	REGION 37..100;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P05111	NA	SIMILARITY: Belongs to the TGF-beta family. {ECO:0000305}.	TGF-beta family	NA	NA	NA	NA	NA	NA	NA
P19957	DOMAIN: Consists of two domains: the transglutaminase substrate domain (cementoin moiety) and the elastase inhibitor domain. The transglutaminase substrate domain serves as an anchor to localize elafin covalently to specific sites on extracellular matrix proteins.	NA	NA	NA	NA	DOMAIN 69..117;  /note=WAP;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722	NA	REGION 29..72;  /note=2 X tandem repeats of SVP-1 like motif	REPEAT 29..54;  /note=SVP-1 clotting 1; REPEAT 55..72;  /note=SVP-1 clotting 2	NA
P03973	NA	NA	NA	NA	NA	DOMAIN 28..76;  /note=WAP 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722; DOMAIN 82..130;  /note=WAP 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722	NA	REGION 84..132;  /note=Elastase inhibitory domain	NA	NA
Q8IUB2	NA	NA	NA	NA	NA	DOMAIN 26..68;  /note=WAP 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722; DOMAIN 69..114;  /note=WAP 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722; DOMAIN 119..162;  /note=WAP 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722; DOMAIN 163..207;  /note=WAP 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722	NA	NA	NA	NA
P31431	NA	SIMILARITY: Belongs to the syndecan proteoglycan family. {ECO:0000305}.	Syndecan proteoglycan family	NA	NA	NA	NA	NA	NA	NA
Q969N2	NA	SIMILARITY: Belongs to the PIGT family. {ECO:0000305}.	PIGT family	NA	NA	NA	NA	NA	NA	NA
Q02383	NA	SIMILARITY: Belongs to the semenogelin family. {ECO:0000305}.	Semenogelin family	NA	COMPBIAS 29..59;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 136..160;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 175..194;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 272..307;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 308..334;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 335..362;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 370..415;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 430..455;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 456..470;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 471..535;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 536..573;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 24..59;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 70..559;  /note=Repeat-rich region; REGION 132..160;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 173..194;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 228..248;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 261..500;  /note=4 X 60 AA tandem repeats, type I; REGION 269..582;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 70..129;  /note=3-1; REPEAT 141..200;  /note=2-1; REPEAT 201..260;  /note=2-2; REPEAT 501..559;  /note=3-2	NA
O95460	NA	NA	NA	COILED 591..622;  /evidence=ECO:0000255	NA	DOMAIN 34..213;  /note=VWFA 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219; DOMAIN 215..255;  /note=EGF-like 1; incomplete;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 256..292;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 297..337;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 342..377;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 386..561;  /note=VWFA 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219	NA	NA	NA	NA
P14138	NA	SIMILARITY: Belongs to the endothelin/sarafotoxin family. {ECO:0000305}.	Endothelin/sarafotoxin family	NA	COMPBIAS 184..208;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 24..89;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 159..173;  /note=Endothelin-like; REGION 183..219;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q969W9	DOMAIN: The PPxY motifs mediate interaction with NEDD4. {ECO:0000269|PubMed:18703514}.; DOMAIN: The SMAD interaction motif is required for interaction with SMAD2 and SMAD3 and the negative regulation of TGF-beta signaling. {ECO:0000269|PubMed:20129061}.	SIMILARITY: Belongs to the PMEPA1 family. {ECO:0000305}.	PMEPA1 family	NA	COMPBIAS 239..255;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 158..161;  /note=PPxY motif 1; MOTIF 186..189;  /note=SMAD interaction motif (SIM); MOTIF 229..232;  /note=PPxY motif 2	REGION 239..258;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P04279	NA	SIMILARITY: Belongs to the semenogelin family. {ECO:0000305}.	Semenogelin family	NA	COMPBIAS 39..61;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 137..157;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 270..294;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 305..354;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 366..393;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 416..430;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 24..61;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 70..439;  /note=Repeat-rich region;  /evidence=ECO:0000250; REGION 131..157;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 164..283;  /note=Interaction with EPPIN;  /evidence=ECO:0000269|PubMed:15590901; REGION 173..194;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 261..380;  /note=2 X 60 AA tandem repeats, type 1; REGION 270..432;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 70..129;  /note=3-1; REPEAT 141..200;  /note=2-1; REPEAT 201..260;  /note=2-2; REPEAT 381..439;  /note=3-2	NA
Q9H2A9	NA	SIMILARITY: Belongs to the sulfotransferase 2 family. {ECO:0000305}.	Sulfotransferase 2 family	NA	NA	NA	NA	REGION 47..107;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q01113	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	COMPBIAS 422..439;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 149..259;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 245..249;  /note=WSXWS motif; MOTIF 301..309;  /note=Box 1 motif	REGION 413..439;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96PE7	NA	SIMILARITY: Belongs to the methylmalonyl-CoA epimerase family. {ECO:0000305}.	Methylmalonyl-CoA epimerase family	NA	NA	DOMAIN 47..176;  /note=VOC;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01163	NA	NA	NA	NA
Q9P0M4	NA	SIMILARITY: Belongs to the IL-17 family. {ECO:0000305}.	IL-17 family	NA	NA	NA	NA	NA	NA	NA
Q9UQ74	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. CEA family. {ECO:0000305}.	Immunoglobulin superfamily, CEA family	NA	NA	DOMAIN 35..144;  /note=Ig-like V-type; DOMAIN 147..234;  /note=Ig-like C2-type 1; DOMAIN 240..327;  /note=Ig-like C2-type 2; DOMAIN 335..410;  /note=Ig-like C2-type 3	NA	NA	NA	NA
P31997	DOMAIN: The N-terminus Ig-like V-type domain is necessary for heterophilic intercellular adhesion. {ECO:0000269|PubMed:11590190}.	SIMILARITY: Belongs to the immunoglobulin superfamily. CEA family. {ECO:0000305}.	Immunoglobulin superfamily, CEA family	NA	NA	DOMAIN 35..142;  /note=Ig-like V-type;  /evidence=ECO:0000255, ECO:0000305|PubMed:2208113; DOMAIN 145..232;  /note=Ig-like C2-type 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00114; DOMAIN 237..319;  /note=Ig-like C2-type 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00114	NA	NA	NA	NA
Q00604	NA	NA	NA	NA	NA	DOMAIN 39..132;  /note=CTCK;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00039	NA	NA	NA	NA
P16562	NA	SIMILARITY: Belongs to the CRISP family. {ECO:0000305}.	CRISP family	NA	NA	DOMAIN 41..169;  /note=SCP; DOMAIN 205..238;  /note=ShKT;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01005	NA	NA	NA	NA
Q13410	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. BTN/MOG family. {ECO:0000305}.	Immunoglobulin superfamily, BTN/MOG family	NA	NA	DOMAIN 27..138;  /note=Ig-like V-type 1; DOMAIN 148..234;  /note=Ig-like V-type 2; DOMAIN 285..479;  /note=B30.2/SPRY;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00548	NA	REGION 495..526;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NP99	NA	NA	NA	NA	NA	DOMAIN 26..134;  /note=Ig-like V-type	NA	NA	NA	NA
