hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
EDAR	ectodysplasin A receptor 	0.27849462258089885	NA	Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	apical part of cell [GO:0045177]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; epidermis development [GO:0008544]; hair follicle development [GO:0001942]; odontogenesis of dentin-containing tooth [GO:0042475]; pigmentation [GO:0043473]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of JNK cascade [GO:0046330]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; salivary gland cavitation [GO:0060662]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	ENSG00000135960	Q9UNE0
IL23R	interleukin 23 receptor 	0.270586606804253	Type I cytokine receptor family, Type 2 subfamily	Cell membrane {ECO:0000269|PubMed:12023369}; Single-pass type I membrane protein {ECO:0000269|PubMed:12023369}.	external side of plasma membrane [GO:0009897]; interleukin-23 receptor complex [GO:0072536]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]	cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-negative bacterium [GO:0050829]; inflammatory response [GO:0006954]; interleukin-23-mediated signaling pathway [GO:0038155]; negative regulation of interleukin-10 production [GO:0032693]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of granulocyte macrophage colony-stimulating factor production [GO:0032725]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of natural killer cell proliferation [GO:0032819]; positive regulation of NK T cell activation [GO:0051135]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 17 cell lineage commitment [GO:2000330]; positive regulation of T-helper 17 type immune response [GO:2000318]; positive regulation of T-helper 1 type immune response [GO:0002827]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of tyrosine phosphorylation of STAT protein [GO:0042509]; response to interferon-gamma [GO:0034341]; response to lipopolysaccharide [GO:0032496]	ENSG00000162594	Q5VWK5
CNTNAP2	contactin associated protein 2 	0.2685025857612621	Neurexin family	Membrane {ECO:0000250|UniProtKB:Q9CPW0}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q9CPW0}. Cell junction, paranodal septate junction {ECO:0000250|UniProtKB:Q9CPW0}. Note=Expressed in the juxtaparadonal region. {ECO:0000250|UniProtKB:Q9CPW0}.	axolemma [GO:0030673]; axon [GO:0030424]; cell surface [GO:0009986]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; juxtaparanode region of axon [GO:0044224]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; paranodal junction [GO:0033010]; perikaryon [GO:0043204]; voltage-gated potassium channel complex [GO:0008076]	enzyme binding [GO:0019899]	adult behavior [GO:0030534]; brain development [GO:0007420]; cell adhesion [GO:0007155]; cerebral cortex development [GO:0021987]; clustering of voltage-gated potassium channels [GO:0045163]; learning [GO:0007612]; limbic system development [GO:0021761]; neuron projection development [GO:0031175]; neuron projection morphogenesis [GO:0048812]; neuron recognition [GO:0008038]; positive regulation of gap junction assembly [GO:1903598]; protein localization to juxtaparanode region of axon [GO:0071205]; social behavior [GO:0035176]; striatum development [GO:0021756]; superior temporal gyrus development [GO:0071109]; thalamus development [GO:0021794]; transmission of nerve impulse [GO:0019226]; vocalization behavior [GO:0071625]; vocal learning [GO:0042297]	ENSG00000174469	Q9UHC6
CD3G	CD3g molecule 	0.2676889153353337	NA	Cell membrane {ECO:0000269|PubMed:8636209}; Single-pass type I membrane protein.	alpha-beta T cell receptor complex [GO:0042105]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]	identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; signaling receptor complex adaptor activity [GO:0030159]; T cell receptor binding [GO:0042608]; transmembrane signaling receptor activity [GO:0004888]	adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; establishment or maintenance of cell polarity [GO:0007163]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; membrane organization [GO:0061024]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; peptide cross-linking [GO:0018149]; positive thymic T cell selection [GO:0045059]; protein-containing complex assembly [GO:0065003]; protein transport [GO:0015031]; regulation of immune response [GO:0050776]; regulation of lymphocyte apoptotic process [GO:0070228]; T cell activation [GO:0042110]; T cell receptor signaling pathway [GO:0050852]	ENSG00000160654	P09693
LILRB2	leukocyte immunoglobulin like receptor B2 	0.26676790943276346	NA	Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; tertiary granule membrane [GO:0070821]	amyloid-beta binding [GO:0001540]; cell adhesion molecule binding [GO:0050839]; inhibitory MHC class I receptor activity [GO:0032396]; MHC class Ib protein binding [GO:0023029]; MHC class Ib protein complex binding [GO:0023025]; MHC class I protein binding [GO:0042288]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; protein phosphatase 1 binding [GO:0008157]	adaptive immune response [GO:0002250]; cell-cell signaling [GO:0007267]; cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; cellular response to lipopolysaccharide [GO:0071222]; Fc receptor mediated inhibitory signaling pathway [GO:0002774]; heterotypic cell-cell adhesion [GO:0034113]; immune response [GO:0006955]; immune response-inhibiting cell surface receptor signaling pathway [GO:0002767]; interleukin-10-mediated signaling pathway [GO:0140105]; learning or memory [GO:0007611]; negative regulation of antigen processing and presentation [GO:0002578]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of postsynaptic density organization [GO:1905875]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of T cell costimulation [GO:2000524]; negative regulation of T cell proliferation [GO:0042130]; neutrophil degranulation [GO:0043312]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of long-term synaptic depression [GO:1900454]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T cell tolerance induction [GO:0002666]; positive regulation of tolerance induction [GO:0002645]; regulation of dendritic cell differentiation [GO:2001198]; regulation of immune response [GO:0050776]; regulation of long-term synaptic potentiation [GO:1900271]; signal transduction [GO:0007165]	ENSG00000277751	Q8N423
FZD10	frizzled class receptor 10 	0.2639891764044944	G-protein coupled receptor Fz/Smo family	Cell membrane {ECO:0000305|PubMed:19188438}; Multi-pass membrane protein {ECO:0000255}.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]	canonical Wnt signaling pathway [GO:0060070]; cellular response to retinoic acid [GO:0071300]; negative regulation of GTPase activity [GO:0034260]; neuron differentiation [GO:0030182]; non-canonical Wnt signaling pathway via JNK cascade [GO:0038031]; positive regulation of GTPase activity [GO:0043547]; positive regulation of JUN kinase activity [GO:0043507]; regulation of actin cytoskeleton organization [GO:0032956]	ENSG00000111432	Q9ULW2
VIPR2	vasoactive intestinal peptide receptor 2 	0.26265528981179775	G-protein coupled receptor 2 family	Cell membrane; Multi-pass membrane protein.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; peptide hormone binding [GO:0017046]; vasoactive intestinal polypeptide receptor activity [GO:0004999]	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; cell-cell signaling [GO:0007267]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; signal transduction [GO:0007165]	ENSG00000106018	P41587
PLXNA4	plexin A4 	0.2569133753932584	Plexin family	Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; semaphorin receptor complex [GO:0002116]	semaphorin receptor activity [GO:0017154]	anterior commissure morphogenesis [GO:0021960]; chemorepulsion of branchiomotor axon [GO:0021793]; facial nerve structural organization [GO:0021612]; glossopharyngeal nerve morphogenesis [GO:0021615]; negative regulation of cell adhesion [GO:0007162]; positive regulation of axonogenesis [GO:0050772]; postganglionic parasympathetic fiber development [GO:0021784]; regulation of axon extension involved in axon guidance [GO:0048841]; regulation of cell migration [GO:0030334]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; regulation of negative chemotaxis [GO:0050923]; semaphorin-plexin signaling pathway [GO:0071526]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; sympathetic nervous system development [GO:0048485]; trigeminal nerve structural organization [GO:0021637]; vagus nerve morphogenesis [GO:0021644]	ENSG00000221866	Q9HCM2
TACR2	tachykinin receptor 2 	0.2526400595505618	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; sperm flagellum [GO:0036126]; sperm head [GO:0061827]; sperm midpiece [GO:0097225]	substance K receptor activity [GO:0016497]; tachykinin receptor activity [GO:0004995]	excretion [GO:0007588]; G protein-coupled receptor signaling pathway [GO:0007186]; intestine smooth muscle contraction [GO:0014827]; muscle contraction [GO:0006936]; negative regulation of luteinizing hormone secretion [GO:0033685]; operant conditioning [GO:0035106]; positive regulation of acetylcholine secretion, neurotransmission [GO:0014057]; positive regulation of flagellated sperm motility [GO:1902093]; positive regulation of uterine smooth muscle contraction [GO:0070474]; positive regulation of vascular permeability [GO:0043117]; prolactin secretion [GO:0070459]; response to electrical stimulus [GO:0051602]; tachykinin receptor signaling pathway [GO:0007217]	ENSG00000075073	P21452
NPY5R	neuropeptide Y receptor Y5 	0.25082452224719104	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]	neuropeptide Y receptor activity [GO:0004983]; pancreatic polypeptide receptor activity [GO:0001602]; peptide YY receptor activity [GO:0001601]	aging [GO:0007568]; cardiac left ventricle morphogenesis [GO:0003214]; chemical synaptic transmission [GO:0007268]; eating behavior [GO:0042755]; generation of ovulation cycle rhythm [GO:0060112]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of acute inflammatory response to antigenic stimulus [GO:0002865]; negative regulation of apoptotic process [GO:0043066]; negative regulation of glutamate secretion [GO:0014050]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; outflow tract morphogenesis [GO:0003151]; positive regulation of acute inflammatory response [GO:0002675]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of smooth muscle cell proliferation [GO:0048661]	ENSG00000164129	Q15761
LILRB2	leukocyte immunoglobulin like receptor B2 	0.24827110396255808	NA	Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; tertiary granule membrane [GO:0070821]	amyloid-beta binding [GO:0001540]; cell adhesion molecule binding [GO:0050839]; inhibitory MHC class I receptor activity [GO:0032396]; MHC class Ib protein binding [GO:0023029]; MHC class Ib protein complex binding [GO:0023025]; MHC class I protein binding [GO:0042288]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; protein phosphatase 1 binding [GO:0008157]	adaptive immune response [GO:0002250]; cell-cell signaling [GO:0007267]; cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; cellular response to lipopolysaccharide [GO:0071222]; Fc receptor mediated inhibitory signaling pathway [GO:0002774]; heterotypic cell-cell adhesion [GO:0034113]; immune response [GO:0006955]; immune response-inhibiting cell surface receptor signaling pathway [GO:0002767]; interleukin-10-mediated signaling pathway [GO:0140105]; learning or memory [GO:0007611]; negative regulation of antigen processing and presentation [GO:0002578]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of postsynaptic density organization [GO:1905875]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of T cell costimulation [GO:2000524]; negative regulation of T cell proliferation [GO:0042130]; neutrophil degranulation [GO:0043312]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of long-term synaptic depression [GO:1900454]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T cell tolerance induction [GO:0002666]; positive regulation of tolerance induction [GO:0002645]; regulation of dendritic cell differentiation [GO:2001198]; regulation of immune response [GO:0050776]; regulation of long-term synaptic potentiation [GO:1900271]; signal transduction [GO:0007165]	ENSG00000276146	Q8N423
UNC5A	unc-5 netrin receptor A 	0.24797985078651685	Unc-5 family	Cell membrane {ECO:0000250|UniProtKB:O08721}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:O08721}. Membrane raft {ECO:0000250|UniProtKB:O08721}. Cell projection, neuron projection {ECO:0000250|UniProtKB:O08721}. Note=The interaction with PRKCABP regulates its surface expression and leads to its removal from the surface of neurons and growth cones. {ECO:0000250|UniProtKB:O08721}.	integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; membrane raft [GO:0045121]; neuronal cell body membrane [GO:0032809]; neuron projection membrane [GO:0032589]; plasma membrane [GO:0005886]	netrin receptor activity [GO:0005042]	anterior/posterior axon guidance [GO:0033564]; apoptotic process [GO:0006915]; axon guidance [GO:0007411]; netrin-activated signaling pathway [GO:0038007]; neuron projection development [GO:0031175]	ENSG00000113763	Q6ZN44
CX3CR1	C-X3-C motif chemokine receptor 1 	0.24293482689740842	G-protein coupled receptor 1 family	Cell membrane {ECO:0000269|PubMed:12055230, ECO:0000269|PubMed:28791023, ECO:0000269|PubMed:9390561}; Multi-pass membrane protein {ECO:0000255}.	cell surface [GO:0009986]; dendritic tree [GO:0097447]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; neuronal cell body membrane [GO:0032809]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]; C-X3-C chemokine binding [GO:0019960]; C-X3-C chemokine receptor activity [GO:0016495]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]	autocrine signaling [GO:0035425]; calcium-mediated signaling [GO:0019722]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; cell chemotaxis [GO:0060326]; cellular defense response [GO:0006968]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system maturation [GO:0021626]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; innate immune response [GO:0045087]; leukocyte tethering or rolling [GO:0050901]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; multiple spine synapse organization, single dendrite [GO:0150090]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of cell migration [GO:0030336]; negative regulation of hippocampal neuron apoptotic process [GO:0110091]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of long-term synaptic potentiation [GO:1900272]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of I-kappaB phosphorylation [GO:1903721]; positive regulation of microglial cell migration [GO:1904141]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neurogenesis [GO:0050769]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein kinase B signaling [GO:0051897]; regulation of microglial cell migration [GO:1904139]; regulation of neurogenesis [GO:0050767]; regulation of nitric oxide biosynthetic process [GO:0045428]; regulation of synaptic plasticity [GO:0048167]; regulation of tumor necrosis factor production [GO:0032680]; response to ischemia [GO:0002931]; response to wounding [GO:0009611]; social behavior [GO:0035176]; synapse maturation [GO:0060074]; synapse pruning [GO:0098883]; viral process [GO:0016032]	ENSG00000168329	P49238
HHIP	hedgehog interacting protein 	0.24274404380898876	HHIP family	Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Secreted {ECO:0000250}. Note=The last 22 C-terminal amino acids may participate in cell membrane attachment.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000305}.	cell surface [GO:0009986]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]	catalytic activity [GO:0003824]; hedgehog family protein binding [GO:0097108]; zinc ion binding [GO:0008270]	dorsal/ventral pattern formation [GO:0009953]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; negative regulation of apoptotic process [GO:0043066]; negative regulation of signal transduction [GO:0009968]; negative regulation of smoothened signaling pathway [GO:0045879]; neuroblast proliferation [GO:0007405]; regulation of fibroblast growth factor receptor signaling pathway [GO:0040036]; signal transduction [GO:0007165]; skeletal system morphogenesis [GO:0048705]	ENSG00000164161	Q96QV1
CLEC2B	C-type lectin domain family 2 member B 	0.23522031033707866	NA	Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]	regulation of immune response [GO:0050776]	ENSG00000110852	Q92478
EPHA8	EPH receptor A8 	0.2338762988764045	Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily	Cell membrane {ECO:0000250|UniProtKB:O09127}; Single-pass type I membrane protein {ECO:0000255}. Cell projection {ECO:0000250|UniProtKB:O09127}. Early endosome membrane {ECO:0000250|UniProtKB:O09127}. Note=Undergoes clathrin-mediated endocytosis upon EFNA5-binding and is targeted to early endosomes. {ECO:0000250|UniProtKB:O09127}.	early endosome membrane [GO:0031901]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; GPI-linked ephrin receptor activity [GO:0005004]; growth factor binding [GO:0019838]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	axon guidance [GO:0007411]; cell adhesion [GO:0007155]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; ephrin receptor signaling pathway [GO:0048013]; multicellular organism development [GO:0007275]; neuron projection development [GO:0031175]; neuron remodeling [GO:0016322]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; protein autophosphorylation [GO:0046777]; regulation of cell adhesion [GO:0030155]; regulation of cell adhesion mediated by integrin [GO:0033628]; substrate-dependent cell migration [GO:0006929]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ENSG00000070886	P29322
NOTCH4	notch receptor 4 	0.23258196785356075	NOTCH family	Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Notch 4 intracellular domain]: Nucleus. Note=Following proteolytical processing NICD is translocated to the nucleus.	cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; Notch binding [GO:0005112]; signaling receptor activity [GO:0038023]	branching involved in blood vessel morphogenesis [GO:0001569]; cell differentiation [GO:0030154]; cell fate determination [GO:0001709]; endothelial cell morphogenesis [GO:0001886]; epithelial to mesenchymal transition [GO:0001837]; hemopoiesis [GO:0030097]; mammary gland development [GO:0030879]; miRNA mediated inhibition of translation [GO:0035278]; morphogenesis of a branching structure [GO:0001763]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of cell differentiation [GO:0045596]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription of Notch receptor target [GO:0007221]; transcription initiation from RNA polymerase II promoter [GO:0006367]; vasculature development [GO:0001944]; wound healing [GO:0042060]	ENSG00000223355	Q99466
KLRC1	killer cell lectin like receptor C1 	0.2307258202247191	NA	Cell membrane {ECO:0000269|PubMed:12165520, ECO:0000269|PubMed:20952657}; Single-pass type II membrane protein {ECO:0000255}.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	carbohydrate binding [GO:0030246]; HLA-E specific inhibitory MHC class Ib receptor activity [GO:0062082]; MHC class I protein complex binding [GO:0023024]; transmembrane signaling receptor activity [GO:0004888]	adaptive immune response [GO:0002250]; CD8-positive, gamma-delta intraepithelial T cell differentiation [GO:0002305]; cell surface receptor signaling pathway [GO:0007166]; innate immune response [GO:0045087]; natural killer cell inhibitory signaling pathway [GO:0002769]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; regulation of immune response [GO:0050776]	ENSG00000134545	P26715
NTRK1	neurotrophic receptor tyrosine kinase 1 	0.23061450298876404	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Cell membrane {ECO:0000269|PubMed:1281417, ECO:0000269|PubMed:15488758, ECO:0000269|PubMed:17196528, ECO:0000269|PubMed:27676246, ECO:0000269|PubMed:2927393}; Single-pass type I membrane protein {ECO:0000269|PubMed:1281417, ECO:0000269|PubMed:15488758}. Early endosome membrane {ECO:0000250|UniProtKB:P35739}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P35739}. Late endosome membrane {ECO:0000250|UniProtKB:P35739}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P35739}. Recycling endosome membrane {ECO:0000250|UniProtKB:P35739}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P35739}. Note=Rapidly internalized after NGF binding (PubMed:1281417). Internalized to endosomes upon binding of NGF or NTF3 and further transported to the cell body via a retrograde axonal transport. Localized at cell membrane and early endosomes before nerve growth factor (NGF) stimulation. Recruited to late endosomes after NGF stimulation. Colocalized with RAPGEF2 at late endosomes. {ECO:0000250|UniProtKB:P35739, ECO:0000269|PubMed:1281417}.	axon [GO:0030424]; cell surface [GO:0009986]; dendrite [GO:0030425]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome membrane [GO:0010008]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; receptor complex [GO:0043235]; recycling endosome membrane [GO:0055038]	ATP binding [GO:0005524]; GPI-linked ephrin receptor activity [GO:0005004]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; nerve growth factor binding [GO:0048406]; nerve growth factor receptor activity [GO:0010465]; neurotrophin binding [GO:0043121]; neurotrophin p75 receptor binding [GO:0005166]; neurotrophin receptor activity [GO:0005030]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	activation of MAPKK activity [GO:0000186]; aging [GO:0007568]; axon guidance [GO:0007411]; axonogenesis involved in innervation [GO:0060385]; B cell differentiation [GO:0030183]; behavioral response to formalin induced pain [GO:0061368]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to nicotine [GO:0071316]; circadian rhythm [GO:0007623]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; learning or memory [GO:0007611]; mechanoreceptor differentiation [GO:0042490]; multicellular organism development [GO:0007275]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; nerve growth factor signaling pathway [GO:0038180]; neuron development [GO:0048666]; neuron projection development [GO:0031175]; neurotrophin TRK receptor signaling pathway [GO:0048011]; olfactory nerve development [GO:0021553]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of angiogenesis [GO:0045766]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron projection development [GO:0010976]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of programmed cell death [GO:0043068]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; programmed cell death involved in cell development [GO:0010623]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of protein kinase B signaling [GO:0051896]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to electrical stimulus [GO:0051602]; response to hydrostatic pressure [GO:0051599]; response to nutrient levels [GO:0031667]; response to radiation [GO:0009314]; Sertoli cell development [GO:0060009]; sympathetic nervous system development [GO:0048485]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ENSG00000198400	P04629
CD180	CD180 molecule 	0.22515527223595505	Toll-like receptor family	Cell membrane; Single-pass type I membrane protein.	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NA	B cell proliferation involved in immune response [GO:0002322]; cellular response to lipopolysaccharide [GO:0071222]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]	ENSG00000134061	Q99467
IL21R	interleukin 21 receptor 	0.22399412611536978	Type I cytokine receptor family, Type 4 subfamily	Membrane; Single-pass type I membrane protein.	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cytokine receptor activity [GO:0004896]; interleukin-21 receptor activity [GO:0001532]; transmembrane signaling receptor activity [GO:0004888]	interleukin-21-mediated signaling pathway [GO:0038114]; natural killer cell activation [GO:0030101]	ENSG00000103522	Q9HBE5
