hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
FBN3	fibrillin 3	No		0.011054	Fibrillin family	Locally secreted to extracellular matrix	Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14962672}.	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	anatomical structure morphogenesis [GO:0009653]	ENSG00000142449	Q75N90	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN3&keywords=FBN3		
FCAR	Fc fragment of IgA receptor	No		0.003190	NA	Intracellular or membrane-bound	[Isoform A.1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform A.2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform A.3]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform B]: Secreted.; SUBCELLULAR LOCATION: [Isoform B-delta-S2]: Secreted.	extracellular region [GO:0005576]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]	IgA binding [GO:0019862]; IgA receptor activity [GO:0019766]	cellular response to granulocyte macrophage colony-stimulating factor stimulus [GO:0097011]; cellular response to interferon-alpha [GO:0035457]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; Fc receptor signaling pathway [GO:0038093]; immune response [GO:0006955]; neutrophil activation [GO:0042119]; neutrophil degranulation [GO:0043312]; neutrophil mediated immunity [GO:0002446]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of oxidative stress-induced cell death [GO:1903209]	ENSG00000186431	P24071	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCAR&keywords=FCAR		
FCER2	Fc fragment of IgE receptor II	No		0.020129	NA	Secreted to blood	Cell membrane; Single-pass type II membrane protein. Cell membrane; Lipid-anchor. Secreted. Note=Also exists as a soluble excreted form, sCD23.	external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	carbohydrate binding [GO:0030246]; IgE binding [GO:0019863]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]	cytokine-mediated signaling pathway [GO:0019221]; Notch signaling pathway [GO:0007219]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of killing of cells of other organism [GO:0051712]; positive regulation of nitric-oxide synthase activity [GO:0051000]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]	ENSG00000104921	P06734	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER2&keywords=FCER2		
FCGR1B	Fc fragment of IgG receptor Ib	No		0.330751	Immunoglobulin superfamily, FCGR1 family	Intracellular or membrane-bound	Cell membrane {ECO:0000269|PubMed:1430234}; Single-pass type I membrane protein {ECO:0000269|PubMed:1430234}.	clathrin-coated endocytic vesicle membrane [GO:0030669]; early endosome membrane [GO:0031901]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	IgG binding [GO:0019864]; immunoglobulin receptor activity [GO:0019763]; transmembrane signaling receptor activity [GO:0004888]	adaptive immune response [GO:0002250]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955]; interferon-gamma-mediated signaling pathway [GO:0060333]; receptor-mediated endocytosis [GO:0006898]; regulation of immune response [GO:0050776]	ENSG00000198019	Q92637	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR1B&keywords=FCGR1B		
FCGR3A	Fc fragment of IgG receptor IIIa	No		0.611325	NA	Secreted to blood	Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Secreted. Note=Exists also as a soluble receptor.	external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	IgG binding [GO:0019864]; transmembrane signaling receptor activity [GO:0004888]	cell surface receptor signaling pathway [GO:0007166]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; immune response [GO:0006955]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; peptide cross-linking [GO:0018149]; regulation of immune response [GO:0050776]	ENSG00000203747	P08637	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A&keywords=FCGR3A		
FCGR3B	Fc fragment of IgG receptor IIIb	No		0.050461	NA	Secreted to blood	Cell membrane; Lipid-anchor, GPI-anchor. Secreted. Note=Secreted after cleavage.	anchored component of membrane [GO:0031225]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	IgG binding [GO:0019864]; transmembrane signaling receptor activity [GO:0004888]	cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955]; neutrophil degranulation [GO:0043312]; regulation of immune response [GO:0050776]	ENSG00000162747	O75015	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B&keywords=FCGR3B		
FCMR	Fc fragment of IgM receptor	No		2.798167	NA	Secreted to blood	[Isoform 1]: Membrane {ECO:0000269|PubMed:21908424}; Single-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:21908424}. Note=Detected in the serum. {ECO:0000269|PubMed:21908424}.	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transmembrane signaling receptor activity [GO:0004888]	cellular defense response [GO:0006968]; immune system process [GO:0002376]; negative regulation of apoptotic process [GO:0043066]	ENSG00000162894	O60667	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCMR&keywords=FCMR		
FCN1	ficolin 1	No		0.048488	Ficolin lectin family	Secreted to blood	Secreted {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}. Cell membrane {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}; Peripheral membrane protein {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}; Extracellular side {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}. Note=Found on the monocyte and granulocyte surface (PubMed:20400674).	collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]	antigen binding [GO:0003823]; carbohydrate binding [GO:0030246]; carbohydrate derivative binding [GO:0097367]; G protein-coupled receptor binding [GO:0001664]; metal ion binding [GO:0046872]; pattern recognition receptor activity [GO:0038187]; sialic acid binding [GO:0033691]; signaling receptor binding [GO:0005102]	cell surface pattern recognition receptor signaling pathway [GO:0002752]; complement activation [GO:0006956]; complement activation, lectin pathway [GO:0001867]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of viral entry into host cell [GO:0046597]; neutrophil degranulation [GO:0043312]; positive regulation of interleukin-8 production [GO:0032757]; protein localization to cell surface [GO:0034394]; recognition of apoptotic cell [GO:0043654]	ENSG00000085265	O00602	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCN1&keywords=FCN1		
FCN2	ficolin 2	No		0.011718	Ficolin lectin family	Secreted to blood	Secreted.	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	antigen binding [GO:0003823]; calcium-dependent protein binding [GO:0048306]; carbohydrate derivative binding [GO:0097367]; mannan binding [GO:2001065]; metal ion binding [GO:0046872]; proteoglycan binding [GO:0043394]; signaling receptor binding [GO:0005102]	complement activation [GO:0006956]; complement activation, lectin pathway [GO:0001867]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; opsonization [GO:0008228]; recognition of apoptotic cell [GO:0043654]	ENSG00000160339	Q15485	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCN2&keywords=FCN2		
FCN3	ficolin 3	No		1.571430	Ficolin lectin family	Secreted to blood	Secreted. Note=Found in blood plasma, bronchus, alveolus and bile duct.	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	antigen binding [GO:0003823]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	complement activation [GO:0006956]; complement activation, lectin pathway [GO:0001867]; defense response to virus [GO:0051607]; negative regulation of RNA biosynthetic process [GO:1902679]; negative regulation of viral entry into host cell [GO:0046597]; recognition of apoptotic cell [GO:0043654]	ENSG00000142748	O75636	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCN3&keywords=FCN3		
FCRL5	Fc receptor like 5	No		0.372232	NA	Secreted to blood	Cell membrane {ECO:0000269|PubMed:16849395}; Single-pass type I membrane protein {ECO:0000269|PubMed:16849395}.	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]	transmembrane signaling receptor activity [GO:0004888]	cell surface receptor signaling pathway [GO:0007166]	ENSG00000143297	Q96RD9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL5&keywords=FCRL5		
FCRLA	Fc receptor like A	No		0.215641	NA	Intracellular or membrane-bound	Cytoplasm {ECO:0000269|PubMed:11754007, ECO:0000269|PubMed:11891275, ECO:0000269|PubMed:15551350}. Note=Seems not to be secreted. {ECO:0000269|PubMed:11891275}.	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]	transmembrane signaling receptor activity [GO:0004888]	cell differentiation [GO:0030154]; cell surface receptor signaling pathway [GO:0007166]	ENSG00000132185	Q7L513	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRLA&keywords=FCRLA		
FCRLB	Fc receptor like B	No		0.180635	NA	Intracellular or membrane-bound	Cytoplasm {ECO:0000269|PubMed:15551350, ECO:0000269|PubMed:15676285, ECO:0000269|PubMed:15815692}. Endoplasmic reticulum {ECO:0000305|PubMed:15815692}. Note=Seems not to be secreted. {ECO:0000269|PubMed:15676285}.	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]	transmembrane signaling receptor activity [GO:0004888]	cell surface receptor signaling pathway [GO:0007166]; negative regulation of immune response [GO:0050777]	ENSG00000162746	Q6BAA4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRLB&keywords=FCRLB		
FDCSP	follicular dendritic cell secreted protein	TBD		2.357641	NA	Locally secreted	Secreted.	extracellular region [GO:0005576]	NA	NA	ENSG00000181617	Q8NFU4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDCSP&keywords=FDCSP		
FETUB	fetuin B	Yes		0.023106	Fetuin family	Secreted to blood	Secreted {ECO:0000250}.	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]	cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; enzyme inhibitor activity [GO:0004857]; metalloendopeptidase inhibitor activity [GO:0008191]	binding of sperm to zona pellucida [GO:0007339]; negative regulation of endopeptidase activity [GO:0010951]; single fertilization [GO:0007338]	ENSG00000090512	Q9UGM5	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FETUB&keywords=FETUB		
FGA	fibrinogen alpha chain	No		57.477711	NA	Secreted to blood	Secreted {ECO:0000269|PubMed:19296670, ECO:0000269|PubMed:9628725}.	blood microparticle [GO:0072562]; cell cortex [GO:0005938]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; fibrinogen complex [GO:0005577]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; synapse [GO:0045202]	extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]	adaptive immune response [GO:0002250]; amyloid fibril formation [GO:1990000]; blood coagulation [GO:0007596]; blood coagulation, common pathway [GO:0072377]; blood coagulation, fibrin clot formation [GO:0072378]; cell-matrix adhesion [GO:0007160]; cellular protein-containing complex assembly [GO:0034622]; cellular protein metabolic process [GO:0044267]; extracellular matrix organization [GO:0030198]; fibrinolysis [GO:0042730]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; negative regulation of blood coagulation, common pathway [GO:2000261]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; plasminogen activation [GO:0031639]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of peptide hormone secretion [GO:0090277]; positive regulation of protein secretion [GO:0050714]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of vasoconstriction [GO:0045907]; post-translational protein modification [GO:0043687]; protein-containing complex assembly [GO:0065003]; protein polymerization [GO:0051258]; response to calcium ion [GO:0051592]; toll-like receptor signaling pathway [GO:0002224]	ENSG00000171560	P02671	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA&keywords=FGA		
FGB	fibrinogen beta chain	No		9.498253	NA	Secreted to blood	Secreted {ECO:0000269|PubMed:10074346, ECO:0000269|PubMed:19296670, ECO:0000269|PubMed:9628725}.	blood microparticle [GO:0072562]; cell cortex [GO:0005938]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; fibrinogen complex [GO:0005577]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; synapse [GO:0045202]	chaperone binding [GO:0051087]; extracellular matrix structural constituent [GO:0005201]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]	adaptive immune response [GO:0002250]; blood coagulation [GO:0007596]; blood coagulation, fibrin clot formation [GO:0072378]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; cellular protein-containing complex assembly [GO:0034622]; cellular response to interleukin-1 [GO:0071347]; cellular response to leptin stimulus [GO:0044320]; extracellular matrix organization [GO:0030198]; fibrinolysis [GO:0042730]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; plasminogen activation [GO:0031639]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of peptide hormone secretion [GO:0090277]; positive regulation of protein secretion [GO:0050714]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of vasoconstriction [GO:0045907]; protein polymerization [GO:0051258]; response to calcium ion [GO:0051592]; toll-like receptor signaling pathway [GO:0002224]	ENSG00000171564	P02675	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGB&keywords=FGB		
FGF1	fibroblast growth factor 1	Yes		1.288866	Heparin-binding growth factors family	Locally secreted	Secreted. Cytoplasm. Cytoplasm, cell cortex. Cytoplasm, cytosol. Nucleus. Note=Lacks a cleavable signal sequence. Within the cytoplasm, it is transported to the cell membrane and then secreted by a non-classical pathway that requires Cu(2+) ions and S100A13. Secreted in a complex with SYT1 (By similarity). Binding of exogenous FGF1 to FGFR facilitates endocytosis followed by translocation of FGF1 across endosomal membrane into the cytosol. Nuclear import from the cytosol requires the classical nuclear import machinery, involving proteins KPNA1 and KPNB1, as well as LRRC59. {ECO:0000250}.	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; Hsp70 protein binding [GO:0030544]; integrin binding [GO:0005178]; S100 protein binding [GO:0044548]	activation of MAPK activity [GO:0000187]; activation of protein kinase B activity [GO:0032148]; anatomical structure morphogenesis [GO:0009653]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; branch elongation involved in ureteric bud branching [GO:0060681]; cell differentiation [GO:0030154]; cellular response to heat [GO:0034605]; fibroblast growth factor receptor signaling pathway [GO:0008543]; lung development [GO:0030324]; MAPK cascade [GO:0000165]; mesonephric epithelium development [GO:0072163]; multicellular organism development [GO:0007275]; organ induction [GO:0001759]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell division [GO:0051781]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of gene expression [GO:0010628]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell migration [GO:0030334]; regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000544]; regulation of endothelial tube morphogenesis [GO:1901509]; signal transduction [GO:0007165]; wound healing [GO:0042060]	ENSG00000113578	P05230	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF1&keywords=FGF1		
FGF10	fibroblast growth factor 10	Yes		0.475651	Heparin-binding growth factors family	Locally secreted	Secreted {ECO:0000305}.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	chemoattractant activity [GO:0042056]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; type 2 fibroblast growth factor receptor binding [GO:0005111]	actin cytoskeleton reorganization [GO:0031532]; activation of MAPK activity [GO:0000187]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; blood vessel remodeling [GO:0001974]; branch elongation involved in salivary gland morphogenesis [GO:0060667]; branching morphogenesis of an epithelial tube [GO:0048754]; bronchiole morphogenesis [GO:0060436]; bud elongation involved in lung branching [GO:0060449]; bud outgrowth involved in lung branching [GO:0060447]; cell differentiation [GO:0030154]; determination of left/right symmetry [GO:0007368]; embryonic camera-type eye development [GO:0031076]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic genitalia morphogenesis [GO:0030538]; embryonic pattern specification [GO:0009880]; epithelial cell proliferation [GO:0050673]; epithelial cell proliferation involved in salivary gland morphogenesis [GO:0060664]; ERK1 and ERK2 cascade [GO:0070371]; establishment of mitotic spindle orientation [GO:0000132]; female genitalia morphogenesis [GO:0048807]; fibroblast growth factor receptor signaling pathway [GO:0008543]; fibroblast growth factor receptor signaling pathway involved in mammary gland specification [GO:0060595]; hair follicle morphogenesis [GO:0031069]; Harderian gland development [GO:0070384]; induction of positive chemotaxis [GO:0050930]; lacrimal gland development [GO:0032808]; limb bud formation [GO:0060174]; limb development [GO:0060173]; lung epithelium development [GO:0060428]; lung proximal/distal axis specification [GO:0061115]; lung saccule development [GO:0060430]; male genitalia morphogenesis [GO:0048808]; mammary gland bud formation [GO:0060615]; MAPK cascade [GO:0000165]; mesenchymal cell differentiation involved in lung development [GO:0060915]; mesenchymal-epithelial cell signaling involved in lung development [GO:0060496]; mesonephros development [GO:0001823]; metanephros development [GO:0001656]; metanephros morphogenesis [GO:0003338]; muscle cell fate commitment [GO:0042693]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of cell differentiation [GO:0045596]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; odontogenesis of dentin-containing tooth [GO:0042475]; organ induction [GO:0001759]; otic vesicle formation [GO:0030916]; pancreas development [GO:0031016]; pituitary gland development [GO:0021983]; positive chemotaxis [GO:0050918]; positive regulation of ATPase activity [GO:0032781]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA repair [GO:0045739]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of hair follicle cell proliferation [GO:0071338]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of lymphocyte proliferation [GO:0050671]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of urothelial cell proliferation [GO:0050677]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; positive regulation of white fat cell proliferation [GO:0070352]; prostatic bud formation [GO:0060513]; protein localization to cell surface [GO:0034394]; radial glial cell differentiation [GO:0060019]; regulation of activin receptor signaling pathway [GO:0032925]; regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling [GO:0060665]; regulation of cell migration [GO:0030334]; regulation of saliva secretion [GO:0046877]; regulation of smoothened signaling pathway [GO:0008589]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; salivary gland development [GO:0007431]; secretion by lung epithelial cell involved in lung growth [GO:0061033]; semicircular canal fusion [GO:0060879]; smooth muscle cell differentiation [GO:0051145]; somatic stem cell population maintenance [GO:0035019]; spleen development [GO:0048536]; submandibular salivary gland formation [GO:0060661]; tear secretion [GO:0070075]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; tissue regeneration [GO:0042246]; type II pneumocyte differentiation [GO:0060510]; urothelial cell proliferation [GO:0050674]; white fat cell differentiation [GO:0050872]; wound healing [GO:0042060]	ENSG00000070193	O15520	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF10&keywords=FGF10		
FGF16	fibroblast growth factor 16	Yes		0.013810	Heparin-binding growth factors family	Locally secreted	Secreted {ECO:0000250|UniProtKB:O54769}.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]	animal organ morphogenesis [GO:0009887]; cell-cell signaling [GO:0007267]; cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; MAPK cascade [GO:0000165]; positive regulation of brown fat cell proliferation [GO:0070349]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000546]; positive regulation of gene expression [GO:0010628]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cell migration [GO:0030334]; response to temperature stimulus [GO:0009266]; signal transduction [GO:0007165]	ENSG00000196468	O43320	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF16&keywords=FGF16		
FGF17	fibroblast growth factor 17	Yes		0.273498	Heparin-binding growth factors family	Locally secreted in brain	Secreted.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; type 1 fibroblast growth factor receptor binding [GO:0005105]; type 2 fibroblast growth factor receptor binding [GO:0005111]	animal organ morphogenesis [GO:0009887]; cell-cell signaling [GO:0007267]; cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; MAPK cascade [GO:0000165]; nervous system development [GO:0007399]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cell migration [GO:0030334]; signal transduction [GO:0007165]	ENSG00000158815	O60258	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF17&keywords=FGF17		
FGF18	fibroblast growth factor 18	Yes		0.176613	Heparin-binding growth factors family	Locally secreted	Secreted {ECO:0000250}.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleolus [GO:0005730]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; type 1 fibroblast growth factor receptor binding [GO:0005105]; type 2 fibroblast growth factor receptor binding [GO:0005111]	anatomical structure morphogenesis [GO:0009653]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; cell-cell signaling [GO:0007267]; cell differentiation [GO:0030154]; chondrocyte development [GO:0002063]; endochondral ossification [GO:0001958]; fibroblast growth factor receptor signaling pathway [GO:0008543]; intramembranous ossification [GO:0001957]; lung development [GO:0030324]; MAPK cascade [GO:0000165]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000546]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; regulation of cell migration [GO:0030334]; signal transduction [GO:0007165]	ENSG00000156427	O76093	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF18&keywords=FGF18		
