uniprot_gn_id	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
Q994662	NA	SIMILARITY: Belongs to the NOTCH family. {ECO:0000305}.	NOTCH family	NA	NA	DOMAIN 24..63;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 64..115;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 118..155;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 156..192;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 194..232;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 234..274;  /note=EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 276..312;  /note=EGF-like 7; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 314..353;  /note=EGF-like 8; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 355..391;  /note=EGF-like 9; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 392..430;  /note=EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 432..473;  /note=EGF-like 11; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 475..511;  /note=EGF-like 12; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 513..549;  /note=EGF-like 13; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 551..587;  /note=EGF-like 14; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 589..625;  /note=EGF-like 15; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 626..659;  /note=EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 661..689;  /note=EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 691..727;  /note=EGF-like 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 729..765;  /note=EGF-like 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 767..803;  /note=EGF-like 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 806..842;  /note=EGF-like 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 844..880;  /note=EGF-like 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 882..928;  /note=EGF-like 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 930..966;  /note=EGF-like 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 968..1004;  /note=EGF-like 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1006..1044;  /note=EGF-like 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1046..1085;  /note=EGF-like 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1087..1126;  /note=EGF-like 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1130..1171;  /note=EGF-like 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 1347..1371;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1485..1508;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1900..1927;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1968..2003;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 1170..1213;  /note=LNR 1; REPEAT 1214..1250;  /note=LNR 2; REPEAT 1251..1294;  /note=LNR 3; REPEAT 1633..1665;  /note=ANK 1; REPEAT 1666..1698;  /note=ANK 2; REPEAT 1700..1732;  /note=ANK 3; REPEAT 1733..1765;  /note=ANK 4; REPEAT 1766..1798;  /note=ANK 5	NA
Q994663	NA	SIMILARITY: Belongs to the NOTCH family. {ECO:0000305}.	NOTCH family	NA	NA	DOMAIN 24..63;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 64..115;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 118..155;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 156..192;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 194..232;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 234..274;  /note=EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 276..312;  /note=EGF-like 7; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 314..353;  /note=EGF-like 8; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 355..391;  /note=EGF-like 9; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 392..430;  /note=EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 432..473;  /note=EGF-like 11; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 475..511;  /note=EGF-like 12; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 513..549;  /note=EGF-like 13; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 551..587;  /note=EGF-like 14; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 589..625;  /note=EGF-like 15; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 626..659;  /note=EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 661..689;  /note=EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 691..727;  /note=EGF-like 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 729..765;  /note=EGF-like 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 767..803;  /note=EGF-like 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 806..842;  /note=EGF-like 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 844..880;  /note=EGF-like 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 882..928;  /note=EGF-like 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 930..966;  /note=EGF-like 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 968..1004;  /note=EGF-like 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1006..1044;  /note=EGF-like 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1046..1085;  /note=EGF-like 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1087..1126;  /note=EGF-like 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1130..1171;  /note=EGF-like 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 1347..1371;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1485..1508;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1900..1927;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1968..2003;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 1170..1213;  /note=LNR 1; REPEAT 1214..1250;  /note=LNR 2; REPEAT 1251..1294;  /note=LNR 3; REPEAT 1633..1665;  /note=ANK 1; REPEAT 1666..1698;  /note=ANK 2; REPEAT 1700..1732;  /note=ANK 3; REPEAT 1733..1765;  /note=ANK 4; REPEAT 1766..1798;  /note=ANK 5	NA
Q994664	NA	SIMILARITY: Belongs to the NOTCH family. {ECO:0000305}.	NOTCH family	NA	NA	DOMAIN 24..63;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 64..115;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 118..155;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 156..192;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 194..232;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 234..274;  /note=EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 276..312;  /note=EGF-like 7; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 314..353;  /note=EGF-like 8; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 355..391;  /note=EGF-like 9; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 392..430;  /note=EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 432..473;  /note=EGF-like 11; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 475..511;  /note=EGF-like 12; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 513..549;  /note=EGF-like 13; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 551..587;  /note=EGF-like 14; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 589..625;  /note=EGF-like 15; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 626..659;  /note=EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 661..689;  /note=EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 691..727;  /note=EGF-like 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 729..765;  /note=EGF-like 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 767..803;  /note=EGF-like 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 806..842;  /note=EGF-like 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 844..880;  /note=EGF-like 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 882..928;  /note=EGF-like 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 930..966;  /note=EGF-like 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 968..1004;  /note=EGF-like 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1006..1044;  /note=EGF-like 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1046..1085;  /note=EGF-like 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1087..1126;  /note=EGF-like 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1130..1171;  /note=EGF-like 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 1347..1371;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1485..1508;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1900..1927;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1968..2003;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 1170..1213;  /note=LNR 1; REPEAT 1214..1250;  /note=LNR 2; REPEAT 1251..1294;  /note=LNR 3; REPEAT 1633..1665;  /note=ANK 1; REPEAT 1666..1698;  /note=ANK 2; REPEAT 1700..1732;  /note=ANK 3; REPEAT 1733..1765;  /note=ANK 4; REPEAT 1766..1798;  /note=ANK 5	NA
Q994665	NA	SIMILARITY: Belongs to the NOTCH family. {ECO:0000305}.	NOTCH family	NA	NA	DOMAIN 24..63;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 64..115;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 118..155;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 156..192;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 194..232;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 234..274;  /note=EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 276..312;  /note=EGF-like 7; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 314..353;  /note=EGF-like 8; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 355..391;  /note=EGF-like 9; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 392..430;  /note=EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 432..473;  /note=EGF-like 11; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 475..511;  /note=EGF-like 12; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 513..549;  /note=EGF-like 13; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 551..587;  /note=EGF-like 14; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 589..625;  /note=EGF-like 15; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 626..659;  /note=EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 661..689;  /note=EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 691..727;  /note=EGF-like 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 729..765;  /note=EGF-like 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 767..803;  /note=EGF-like 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 806..842;  /note=EGF-like 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 844..880;  /note=EGF-like 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 882..928;  /note=EGF-like 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 930..966;  /note=EGF-like 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 968..1004;  /note=EGF-like 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1006..1044;  /note=EGF-like 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1046..1085;  /note=EGF-like 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1087..1126;  /note=EGF-like 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1130..1171;  /note=EGF-like 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 1347..1371;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1485..1508;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1900..1927;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1968..2003;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 1170..1213;  /note=LNR 1; REPEAT 1214..1250;  /note=LNR 2; REPEAT 1251..1294;  /note=LNR 3; REPEAT 1633..1665;  /note=ANK 1; REPEAT 1666..1698;  /note=ANK 2; REPEAT 1700..1732;  /note=ANK 3; REPEAT 1733..1765;  /note=ANK 4; REPEAT 1766..1798;  /note=ANK 5	NA
Q994666	NA	SIMILARITY: Belongs to the NOTCH family. {ECO:0000305}.	NOTCH family	NA	NA	DOMAIN 24..63;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 64..115;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 118..155;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 156..192;  /note=EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 194..232;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 234..274;  /note=EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 276..312;  /note=EGF-like 7; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 314..353;  /note=EGF-like 8; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 355..391;  /note=EGF-like 9; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 392..430;  /note=EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 432..473;  /note=EGF-like 11; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 475..511;  /note=EGF-like 12; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 513..549;  /note=EGF-like 13; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 551..587;  /note=EGF-like 14; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 589..625;  /note=EGF-like 15; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 626..659;  /note=EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 661..689;  /note=EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 691..727;  /note=EGF-like 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 729..765;  /note=EGF-like 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 767..803;  /note=EGF-like 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 806..842;  /note=EGF-like 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 844..880;  /note=EGF-like 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 882..928;  /note=EGF-like 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 930..966;  /note=EGF-like 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 968..1004;  /note=EGF-like 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1006..1044;  /note=EGF-like 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1046..1085;  /note=EGF-like 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1087..1126;  /note=EGF-like 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 1130..1171;  /note=EGF-like 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 1347..1371;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1485..1508;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1900..1927;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1968..2003;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 1170..1213;  /note=LNR 1; REPEAT 1214..1250;  /note=LNR 2; REPEAT 1251..1294;  /note=LNR 3; REPEAT 1633..1665;  /note=ANK 1; REPEAT 1666..1698;  /note=ANK 2; REPEAT 1700..1732;  /note=ANK 3; REPEAT 1733..1765;  /note=ANK 4; REPEAT 1766..1798;  /note=ANK 5	NA
P48145	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P48146	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P481461	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q9GZQ6	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 1..20;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 379..413;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9Y5X5	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 25..49;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P16066	NA	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	NA	DOMAIN 528..805;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159; DOMAIN 876..1006;  /note=Guanylate cyclase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099	NA	NA	NA	NA
P20594	NA	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	NA	DOMAIN 513..786;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159; DOMAIN 861..991;  /note=Guanylate cyclase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099	NA	NA	NA	NA
P17342	NA	SIMILARITY: Belongs to the ANF receptor family. {ECO:0000305}.	ANF receptor family	NA	NA	NA	NA	NA	NA	NA
Q6W5P4	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	NA	NA	NA	NA	REGION 1..22;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9Y639	DOMAIN: Some isoforms lack the first Ig-like domain which may confer homophilic adhesion activity. However, they can bind and activate FGFR1 (By similarity). {ECO:0000250}.	NA	NA	NA	NA	DOMAIN 29..134;  /note=Ig-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00114; DOMAIN 148..235;  /note=Ig-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00114; DOMAIN 238..329;  /note=Ig-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00114	NA	REGION 149..161;  /note=Narpin; mediates binding with FGFR1 and has antidepressant-like activity;  /evidence=ECO:0000250; REGION 365..398;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P25929	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P49146	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 1..35;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P50391	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q15761	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q92823	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. L1/neurofascin/NgCAM family. {ECO:0000305}.	Immunoglobulin superfamily, L1/neurofascin/NgCAM family	NA	COMPBIAS 1199..1255;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 46..134;  /note=Ig-like 1; DOMAIN 141..235;  /note=Ig-like 2; DOMAIN 267..356;  /note=Ig-like 3; DOMAIN 361..448;  /note=Ig-like 4; DOMAIN 454..541;  /note=Ig-like 5; DOMAIN 545..632;  /note=Ig-like 6; DOMAIN 649..744;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 746..843;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 848..950;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 954..1051;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1064..1156;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 1199..1304;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O14786	DOMAIN: The tandem CUB domains mediate binding to semaphorin, while the tandem F5/8 domains are responsible for heparin and VEGF binding. F5/8 domains mediate the recognition and binding to R/KXXR/K CendR motifs (PubMed:19805273, PubMed:33082294). {ECO:0000269|PubMed:19805273, ECO:0000269|PubMed:33082294}.	SIMILARITY: Belongs to the neuropilin family. {ECO:0000305}.	Neuropilin family	NA	NA	DOMAIN 27..141;  /note=CUB 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 147..265;  /note=CUB 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 275..424;  /note=F5/8 type C 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00081; DOMAIN 431..583;  /note=F5/8 type C 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00081; DOMAIN 645..811;  /note=MAM;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00128	NA	REGION 820..845;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
