uniprot_gn_id	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
O75473	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein. Note=Rapidly and constitutively internalized to the trans-Golgi network at steady state. Internalization to the trans-Golgi network may be the result of phosphorylation at Ser-861 and Ser-864; however, the phosphorylation event has not been proven (PubMed:23439653). {ECO:0000269|PubMed:23439653}.	NA	TOPO_DOM 22..561;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 583..593;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 615..638;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 660..682;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 704..722;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 744..767;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 789..802;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 824..907;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 562..582;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 594..614;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 639..659;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 683..703;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 723..743;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 768..788;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 803..823;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q9HBX8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22615920}; Multi-pass membrane protein {ECO:0000269|PubMed:22615920}.	NA	TOPO_DOM 25..567;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 589..598;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 620..644;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 666..687;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 709..727;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 749..774;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 796..809;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 831..967;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 568..588;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 599..619;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 645..665;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 688..708;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 728..748;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 775..795;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 810..830;  /note=Helical; Name=7;  /evidence=ECO:0000255
P22888	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}.	NA	TOPO_DOM 27..363;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 386..395;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 417..439;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 463..482;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 506..525;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 550..570;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 595..605;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 628..699;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 364..385;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 396..416;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 440..462;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 483..505;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 526..549;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 571..594;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 606..627;  /note=Helical; Name=7;  /evidence=ECO:0000255
P42702	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 45..833;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 859..1097;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 834..858;  /note=Helical;  /evidence=ECO:0000255
Q8N6C8	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8N6C81	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8N6C82	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8N6C83	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8NHL6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000305|PubMed:19658091}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:19658091}.	NA	TOPO_DOM 24..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..650;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8NHL61	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000305|PubMed:19658091}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:19658091}.	NA	TOPO_DOM 24..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..650;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8NHL62	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000305|PubMed:19658091}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:19658091}.	NA	TOPO_DOM 24..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..650;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8NHL63	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000305|PubMed:19658091}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:19658091}.	NA	TOPO_DOM 24..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..650;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8NHL64	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000305|PubMed:19658091}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:19658091}.	NA	TOPO_DOM 24..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..650;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8N423	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	NA	TOPO_DOM 22..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..598;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8N4231	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	NA	TOPO_DOM 22..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..598;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8N4232	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	NA	TOPO_DOM 22..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..598;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8N4233	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	NA	TOPO_DOM 22..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..598;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q8N4234	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	NA	TOPO_DOM 22..461;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 483..598;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 462..482;  /note=Helical;  /evidence=ECO:0000255
Q96FE5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9D1T0}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9D1T0}.	NA	TOPO_DOM 42..561;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 583..620;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 562..582;  /note=Helical;  /evidence=ECO:0000255
Q6UX01	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11287427, ECO:0000269|PubMed:17991420, ECO:0000269|PubMed:31073040}; Multi-pass membrane protein {ECO:0000269|PubMed:11287427}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:31073040}; Multi-pass membrane protein {ECO:0000255}.	NA	TOPO_DOM 1..21;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 43..66;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 88..114;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 136..154;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 176..196;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 218..305;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 327..350;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 372..388;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 410..431;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 453..489;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 22..42;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 67..87;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 115..135;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 155..175;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 197..217;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 306..326;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 351..371;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 389..409;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 432..452;  /note=Helical;  /evidence=ECO:0000255
Q92633	SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:25025571}. Cell membrane {ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:25025571, ECO:0000269|PubMed:26091040, ECO:0000269|PubMed:9070858}; Multi-pass membrane protein {ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:26091040}. Endosome {ECO:0000269|PubMed:19306925}. Note=Prior to LPA treatment found predominantly at the cell surface. Internalized after LPA treatment. Colocalizes with RALA in endocytic vesicles after LPA treatment. {ECO:0000269|PubMed:19306925}.	NA	TOPO_DOM 1..50;  /note=Extracellular; TOPO_DOM 76..83;  /note=Cytoplasmic; TOPO_DOM 108..121;  /note=Extracellular; TOPO_DOM 145..163;  /note=Cytoplasmic; TOPO_DOM 185..204;  /note=Extracellular; TOPO_DOM 226..255;  /note=Cytoplasmic; TOPO_DOM 281..294;  /note=Extracellular; TOPO_DOM 316..364;  /note=Cytoplasmic	TRANSMEM 51..75;  /note=Helical; Name=1; TRANSMEM 84..107;  /note=Helical; Name=2; TRANSMEM 122..144;  /note=Helical; Name=3; TRANSMEM 164..184;  /note=Helical; Name=4; TRANSMEM 205..225;  /note=Helical; Name=5; TRANSMEM 256..280;  /note=Helical; Name=6; TRANSMEM 295..315;  /note=Helical; Name=7
Q9HBW0	SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:19306925}. Cell membrane {ECO:0000269|PubMed:19306925}; Multi-pass membrane protein {ECO:0000269|PubMed:19306925}. Note=Prior to LPA treatment found predominantly at the cell surface but in the presence of LPA colocalizes with RALA in the endocytic vesicles.	NA	TOPO_DOM 1..33;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 55..69;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 91..103;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 127..146;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 168..188;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 210..242;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 264..279;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 298..351;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 34..54;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 70..90;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 104..126;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 147..167;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 189..209;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 243..263;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 280..297;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q9UBY5	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..31;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 53..67;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 89..101;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 125..146;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 168..186;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 208..240;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 262..276;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 298..353;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 32..52;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 68..88;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 102..124;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 147..167;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 187..207;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 241..261;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 277..297;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q99677	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..43;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 65..73;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 95..112;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 134..155;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 177..203;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 225..254;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 276..294;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 316..370;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 44..64;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 74..94;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 113..133;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 156..176;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 204..224;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 255..275;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 295..315;  /note=Helical; Name=7;  /evidence=ECO:0000255
O94910	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell projection, axon {ECO:0000250|UniProtKB:O88917}. Cell projection, growth cone {ECO:0000250|UniProtKB:O88917}. Cell junction, synapse {ECO:0000250|UniProtKB:O88917}. Cell junction, synapse, presynaptic cell membrane {ECO:0000250|UniProtKB:O88917}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:O88917}. Note=Colocalizes with TENM2 on the cell surface, across intercellular junctions and on nerve terminals near synaptic clefts. {ECO:0000250|UniProtKB:O88917}.	NA	TOPO_DOM 25..858;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 880..893;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 915..920;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 942..964;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 986..1002;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1024..1050;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 1072..1075;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1097..1474;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 859..879;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 894..914;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 921..941;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 965..985;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 1003..1023;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 1051..1071;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 1076..1096;  /note=Helical; Name=7;  /evidence=ECO:0000255
O949101	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell projection, axon {ECO:0000250|UniProtKB:O88917}. Cell projection, growth cone {ECO:0000250|UniProtKB:O88917}. Cell junction, synapse {ECO:0000250|UniProtKB:O88917}. Cell junction, synapse, presynaptic cell membrane {ECO:0000250|UniProtKB:O88917}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:O88917}. Note=Colocalizes with TENM2 on the cell surface, across intercellular junctions and on nerve terminals near synaptic clefts. {ECO:0000250|UniProtKB:O88917}.	NA	TOPO_DOM 25..858;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 880..893;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 915..920;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 942..964;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 986..1002;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1024..1050;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 1072..1075;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1097..1474;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 859..879;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 894..914;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 921..941;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 965..985;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 1003..1023;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 1051..1071;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 1076..1096;  /note=Helical; Name=7;  /evidence=ECO:0000255
O95490	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.	NA	TOPO_DOM 26..851;  /note=Extracellular;  /evidence=ECO:0000305; TOPO_DOM 873..880;  /note=Cytoplasmic;  /evidence=ECO:0000305; TOPO_DOM 902..907;  /note=Extracellular;  /evidence=ECO:0000305; TOPO_DOM 929..952;  /note=Cytoplasmic;  /evidence=ECO:0000305; TOPO_DOM 974..990;  /note=Extracellular;  /evidence=ECO:0000305; TOPO_DOM 1012..1037;  /note=Cytoplasmic;  /evidence=ECO:0000305; TOPO_DOM 1059..1062;  /note=Extracellular;  /evidence=ECO:0000305; TOPO_DOM 1084..1459;  /note=Cytoplasmic;  /evidence=ECO:0000305	TRANSMEM 852..872;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 881..901;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 908..928;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 953..973;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 991..1011;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 1038..1058;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 1063..1083;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q07954	SUBCELLULAR LOCATION: [Low-density lipoprotein receptor-related protein 1 85 kDa subunit]: Cell membrane; Single-pass type I membrane protein. Membrane, coated pit.; SUBCELLULAR LOCATION: [Low-density lipoprotein receptor-related protein 1 515 kDa subunit]: Cell membrane; Peripheral membrane protein; Extracellular side. Membrane, coated pit.; SUBCELLULAR LOCATION: [Low-density lipoprotein receptor-related protein 1 intracellular domain]: Cytoplasm {ECO:0000269|PubMed:12888553}. Nucleus {ECO:0000269|PubMed:12888553}. Note=After cleavage, the intracellular domain (LRPICD) is detected both in the cytoplasm and in the nucleus. {ECO:0000269|PubMed:12888553}.; SUBCELLULAR LOCATION: Golgi outpost {ECO:0000250|UniProtKB:G3V928}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:G3V928}. Note=Localizes to the postsynaptic Golgi apparatus region, also named Golgi outpost, which shapes dendrite morphology by functioning as sites of acentrosomal microtubule nucleation. {ECO:0000250|UniProtKB:G3V928}.	NA	TOPO_DOM 20..4419;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 4445..4544;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 4420..4444;  /note=Helical;  /evidence=ECO:0000255
Q86VZ4	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 38..450;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 474..500;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 451..473;  /note=Helical;  /evidence=ECO:0000255
P98164	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:23825075, ECO:0000269|PubMed:27798286}; Single-pass type I membrane protein {ECO:0000255}. Endosome lumen {ECO:0000250|UniProtKB:P98158}. Membrane, coated pit {ECO:0000250|UniProtKB:A2ARV4}. Cell projection, dendrite {ECO:0000250|UniProtKB:A2ARV4}. Cell projection, axon {ECO:0000250|UniProtKB:A2ARV4}. Note=Localizes to brush border membranes in the kidney. In the endolymphatic sac of the inner ear, located in the lumen of endosomes as a soluble form. {ECO:0000250|UniProtKB:P98158}.	NA	TOPO_DOM 26..4423;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 4447..4655;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 4424..4446;  /note=Helical;  /evidence=ECO:0000255
O75096	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8VI56}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 21..1725;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1747..1905;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1726..1746;  /note=Helical;  /evidence=ECO:0000255
O75197	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q91VN0}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q91VN0}. Endoplasmic reticulum {ECO:0000269|PubMed:25920554}. Note=Chaperoned to the plasma membrane by MESD. {ECO:0000250|UniProtKB:Q91VN0}.	NA	TOPO_DOM 32..1384;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1408..1615;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1385..1407;  /note=Helical;  /evidence=ECO:0000255
O75581	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26387593}; Single-pass type I membrane protein. Endoplasmic reticulum {ECO:0000269|PubMed:26387593}. Membrane raft {ECO:0000269|PubMed:23987510}. Note=On Wnt signaling, undergoes a cycle of caveolin- or clathrin-mediated endocytosis and plasma membrane location. Released from the endoplasmic reticulum on palmitoylation. Mono-ubiquitination retains it in the endoplasmic reticulum in the absence of palmitoylation. On Wnt signaling, phosphorylated, aggregates and colocalizes with AXIN1 and GSK3B at the plasma membrane in LRP6-signalsomes. Chaperoned to the plasma membrane by MESD (By similarity). {ECO:0000250}.	NA	TOPO_DOM 20..1370;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1394..1613;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1371..1393;  /note=Helical;  /evidence=ECO:0000255
O755811	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26387593}; Single-pass type I membrane protein. Endoplasmic reticulum {ECO:0000269|PubMed:26387593}. Membrane raft {ECO:0000269|PubMed:23987510}. Note=On Wnt signaling, undergoes a cycle of caveolin- or clathrin-mediated endocytosis and plasma membrane location. Released from the endoplasmic reticulum on palmitoylation. Mono-ubiquitination retains it in the endoplasmic reticulum in the absence of palmitoylation. On Wnt signaling, phosphorylated, aggregates and colocalizes with AXIN1 and GSK3B at the plasma membrane in LRP6-signalsomes. Chaperoned to the plasma membrane by MESD (By similarity). {ECO:0000250}.	NA	TOPO_DOM 20..1370;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1394..1613;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1371..1393;  /note=Helical;  /evidence=ECO:0000255
Q14114	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Secreted {ECO:0000250}. Note=Isoforms that contain the exon coding for a furin-type cleavage site are proteolytically processed, leading to a secreted receptor fragment. {ECO:0000250}.	NA	TOPO_DOM 42..826;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 848..963;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 827..847;  /note=Helical;  /evidence=ECO:0000255
Q9HBW1	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}. Note=LRRC4 and DLG4 are interdependent for synaptic localization. {ECO:0000250}.	NA	TOPO_DOM 39..527;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 549..653;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 528..548;  /note=Helical;  /evidence=ECO:0000255
