UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
Q86X55	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Mainly nuclear during the G1, S and G2 phases of the cell cycle. Cytoplasmic during mitosis, after breakup of the nuclear membrane.	NA	NA	NA
Q96LC7	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.	NA	TOPO_DOM 17..550;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 572..697;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 551..571;  /note=Helical;  /evidence=ECO:0000255
P07288	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q96A98	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
A6NGN9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q96D15	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:16433634}.	NA	NA	NA
Q495T6	SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein. Secreted. Note=A secreted form produced by proteolytic cleavage also exists. {ECO:0000250}.	NA	TOPO_DOM 1..27;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 49..779;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 28..48;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P08217	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:31358993}.	NA	NA	NA
Q96SC8	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00070}.	NA	NA	NA
O75636	SUBCELLULAR LOCATION: Secreted. Note=Found in blood plasma, bronchus, alveolus and bile duct.	NA	NA	NA
P09093	NA	NA	NA	NA
P98160	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	NA	NA	NA
O00622	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q92643	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11483512}; Single-pass type I membrane protein {ECO:0000269|PubMed:11483512}.	NA	TOPO_DOM 28..367;  /note=Lumenal;  /evidence=ECO:0000255; TOPO_DOM 389..395;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 368..388;  /note=Helical;  /evidence=ECO:0000255
Q9GZM7	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10799322, ECO:0000269|PubMed:11170462}.	NA	NA	NA
P10586	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 30..1263;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1285..1907;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1264..1284;  /note=Helical;  /evidence=ECO:0000255
Q5VTL7	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P58294	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P49189	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JLJ3}.	NA	NA	NA
O75629	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10815803}.	NA	NA	NA
P47992	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9UBD3	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q07507	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q96NY8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction, adherens junction {ECO:0000269|PubMed:11544254}. Note=Colocalizes with AFDN at cadherin-based adherens junctions (PubMed:11544254).; SUBCELLULAR LOCATION: [Processed poliovirus receptor-related protein 4]: Secreted {ECO:0000269|PubMed:15784625}. Note=The secreted form is found in breast tumor patients (PubMed:15784625).	NA	TOPO_DOM 32..349;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 371..510;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 350..370;  /note=Helical;  /evidence=ECO:0000255
P05160	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:26247044, ECO:0000269|PubMed:4405643}.	NA	NA	NA
Q96RD9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16849395}; Single-pass type I membrane protein {ECO:0000269|PubMed:16849395}.	NA	TOPO_DOM 16..851;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 873..977;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 852..872;  /note=Helical;  /evidence=ECO:0000255
Q96A35	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.	NA	NA	NA
P31415	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:27185316, ECO:0000269|PubMed:28895244}. Sarcoplasmic reticulum {ECO:0000269|PubMed:27196359}. Sarcoplasmic reticulum lumen {ECO:0000250|UniProtKB:P07221}. Sarcoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side {ECO:0000250|UniProtKB:P07221}. Mitochondrion matrix {ECO:0000250|UniProtKB:O09165}. Note=This isoform of calsequestrin occurs in the sarcoplasmic reticulum's terminal cisternae luminal spaces of fast skeletal muscle cells. Preferentially forms linear and round aggregates in the endoplasmic reticulum (ER) of resting cells (PubMed:28895244). In a minority of cells, homogeneously detected in the ER lumen (PubMed:28895244). Colocalizes with STIM1 at endoplasmic reticulum in response to a depletion of intracellular calcium (PubMed:27185316). {ECO:0000250|UniProtKB:P07221, ECO:0000269|PubMed:27185316, ECO:0000269|PubMed:28895244}.	NA	NA	NA
Q96RW7	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:D3YXG0}. Cytoplasm {ECO:0000250|UniProtKB:D3YXG0}. Cell junction {ECO:0000250|UniProtKB:D3YXG0}. Cleavage furrow {ECO:0000250|UniProtKB:D3YXG0}. Note=The antibody used to determine subcellular location does not distinguish between HMCN1 and HMCN2. {ECO:0000250|UniProtKB:D3YXG0}.	NA	NA	NA
Q9NNX1	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P27628}. Note=Secreted at a very early stage of enamel formation, concentrated at the dentin-enamel junction and tightly bound to the surface of the growing crystallites. {ECO:0000250|UniProtKB:P27628}.	NA	NA	NA
Q16610	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
Q6UY14	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:21989719}. Note=Colocalizes with FMN1 microfibrils in the eye ECM.	NA	NA	NA
P43235	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:11082042}. Secreted {ECO:0000269|PubMed:11082042}. Apical cell membrane {ECO:0000269|PubMed:11082042}; Peripheral membrane protein {ECO:0000269|PubMed:11082042}; Extracellular side {ECO:0000269|PubMed:11082042}. Note=Localizes to the lumen of thyroid follicles and to the apical membrane of thyroid epithelial cells. {ECO:0000269|PubMed:11082042}.	NA	NA	NA
Q9H3T2	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 25..604;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 626..930;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 605..625;  /note=Helical;  /evidence=ECO:0000255
Q9BUN1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q86V25	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19204325}. Secreted {ECO:0000269|PubMed:20736312}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:31235911}. Note=Mainly localizes in the cytoplasm (PubMed:19204325). Some fraction is secreted via a non-canonical secretion system; interaction with SVBP promotes secretion (PubMed:20736312). Associates with microtubules (PubMed:31235911). {ECO:0000269|PubMed:19204325, ECO:0000269|PubMed:20736312, ECO:0000269|PubMed:31235911}.	NA	NA	NA
Q5VX71	SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305|PubMed:23482636}.	NA	TOPO_DOM 42..319;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 341..490;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 320..340;  /note=Helical;  /evidence=ECO:0000255
Q6UWX4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P05109	SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway.	NA	NA	NA
P31151	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8618345}. Secreted {ECO:0000269|PubMed:8618345}. Note=Secreted by a non-classical secretory pathway.	NA	NA	NA
Q68E01	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19605351, ECO:0000269|PubMed:19683501, ECO:0000269|PubMed:23904267}. Cytoplasm {ECO:0000269|PubMed:23904267}. Note=Localizes to nuclear foci following DNA damage.	NA	NA	NA
Q10471	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:9394011}; Single-pass type II membrane protein {ECO:0000269|PubMed:9394011}. Secreted {ECO:0000269|PubMed:9394011}. Note=Resides preferentially in the trans and medial parts of the Golgi stack. A secreted form also exists.	NA	TOPO_DOM 1..6;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 25..571;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 7..24;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
O00292	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O14904	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.	NA	NA	NA
Q7Z4P5	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q15084	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:15466936}. Cell membrane {ECO:0000269|PubMed:15466936}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545). {ECO:0000269|PubMed:12643545}.	NA	NA	NA
Q6UW15	SUBCELLULAR LOCATION: Secreted. Cytoplasm {ECO:0000250}.	NA	NA	NA
Q86YJ6	SUBCELLULAR LOCATION: [Isoform SOFAT]: Secreted. Note=Secreted by activated T-cells via a calcineurin-independent pathway.	NA	NA	NA
Q7Z5L3	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q53RD9	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q8N1E2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O95156	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9UIK5	SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	NA	TOPO_DOM 41..320;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 342..374;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 321..341;  /note=Helical;  /evidence=ECO:0000255
Q8IVL8	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:21921028}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:21921028}.	NA	NA	NA
Q8NBK3	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:15657036, ECO:0000269|PubMed:15962010, ECO:0000269|PubMed:18266766, ECO:0000269|PubMed:21224894}.	NA	NA	NA
Q92600	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9JKY0}. Cytoplasm, P-body {ECO:0000250|UniProtKB:Q9JKY0}. Note=NANOS2 promotes its localization to P-body. {ECO:0000250|UniProtKB:Q9JKY0}.	NA	NA	NA
Q8IWV2	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted {ECO:0000250}.	NA	NA	NA
Q8NAT1	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23929950, ECO:0000269|PubMed:27066570}; Single-pass type II membrane protein {ECO:0000269|PubMed:23929950}.	NA	TOPO_DOM 1..4;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 26..580;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 5..25;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q9UFP1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q3UY90}. Golgi apparatus {ECO:0000250|UniProtKB:Q3UY90}. Membrane, caveola {ECO:0000269|PubMed:30188967}. Note=Requires caveolae biogenesis to be secreted from the endoplasmic reticulum going through the Golgi apparatus where is post-translationally processed to the mature form. {ECO:0000250|UniProtKB:Q3UY90}.	NA	NA	NA
Q13797	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 30..981;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1003..1035;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 982..1002;  /note=Helical;  /evidence=ECO:0000255
P27658	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	NA	NA	NA
Q969Y0	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9NUJ1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:31740833}.	NA	NA	NA
Q53H76	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9BWV1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12634428}; Single-pass type I membrane protein {ECO:0000269|PubMed:12634428}. Note=Enriched at sites of cell-cell contact.	NA	TOPO_DOM 31..855;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 877..1114;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 856..876;  /note=Helical;  /evidence=ECO:0000255
Q6UXF1	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q8BHE4}; Multi-pass membrane protein {ECO:0000255}. Cell junction, synapse, postsynaptic density {ECO:0000250|UniProtKB:Q8BHE4}. Endosome membrane {ECO:0000250|UniProtKB:Q8BHE4}. Cell projection, axon {ECO:0000250|UniProtKB:Q8BHE4}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q8BHE4}. Early endosome {ECO:0000250|UniProtKB:Q8BHE4}.	NA	NA	TRANSMEM 9..29;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 469..489;  /note=Helical;  /evidence=ECO:0000255
Q2T9K0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..29;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 51..61;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 83..88;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 110..135;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 157..179;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 201..259;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 281..294;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 316..475;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 30..50;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 62..82;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 89..109;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 136..156;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 180..200;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 260..280;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 295..315;  /note=Helical;  /evidence=ECO:0000255
Q96RP3	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q86SU0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15381095}; Single-pass type I membrane protein {ECO:0000269|PubMed:15381095}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm, cytosol {ECO:0000269|PubMed:15381095}.	NA	TOPO_DOM 24..167;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 189..546;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 168..188;  /note=Helical;  /evidence=ECO:0000255
Q99102	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Secreted {ECO:0000269|PubMed:12102554}. Note=Isoforms lacking the Cys-rich region, EGF-like domains and transmembrane region are secreted. Secretion occurs by splicing or proteolytic processing.; SUBCELLULAR LOCATION: [Mucin-4 beta chain]: Cell membrane; Single-pass membrane protein.; SUBCELLULAR LOCATION: [Mucin-4 alpha chain]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass membrane protein.; SUBCELLULAR LOCATION: [Isoform 11]: Secreted.; SUBCELLULAR LOCATION: [Isoform 15]: Secreted.; SUBCELLULAR LOCATION: [Isoform 17]: Cell membrane; Single-pass membrane protein.	NA	NA	TRANSMEM 2126..2146;  /note=Helical;  /evidence=ECO:0000255
O94813	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10102268}. Note=The C-terminal cleavage protein is more diffusible than the larger N-terminal protein that is more tightly cell associated.	NA	NA	NA
P02765	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9Y5Q5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19751717, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:21518754}; Single-pass type II membrane protein {ECO:0000269|PubMed:19751717, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:21518754}. Note=May easily detached from the endothelial cell membrane.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type II membrane protein. Note=Less efficiently targeted to the cell membrane compared to isoform 1.; SUBCELLULAR LOCATION: [Atrial natriuretic peptide-converting enzyme, 180 kDa soluble fragment]: Secreted. Note=Soluble form produced following cleavage by ADAM10.; SUBCELLULAR LOCATION: [Atrial natriuretic peptide-converting enzyme, 160 kDa soluble fragment]: Secreted. Note=Soluble form produced following autocatalytic cleavage.; SUBCELLULAR LOCATION: [Atrial natriuretic peptide-converting enzyme, 100 kDa soluble fragment]: Secreted. Note=Soluble form produced following autocatalytic cleavage.	NA	TOPO_DOM 1..45;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 67..1042;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 46..66;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P02774	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2423133}.	NA	NA	NA
P37840	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19762560, ECO:0000269|PubMed:24936070, ECO:0000269|PubMed:25561023, ECO:0000269|PubMed:26442590, ECO:0000269|PubMed:31034892}. Membrane {ECO:0000269|PubMed:24936070}. Nucleus {ECO:0000269|PubMed:12859192, ECO:0000269|PubMed:24936070}. Cell junction, synapse {ECO:0000269|PubMed:15282274}. Secreted {ECO:0000269|PubMed:24936070}. Note=Membrane-bound in dopaminergic neurons. {ECO:0000269|PubMed:15282274}.	NA	NA	NA
Q96HF1	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q9NRA1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:16443219}. Secreted {ECO:0000269|PubMed:10806482, ECO:0000269|PubMed:10858496, ECO:0000269|PubMed:11297552, ECO:0000269|PubMed:15061151, ECO:0000269|PubMed:15372073, ECO:0000269|PubMed:15911618}. Nucleus {ECO:0000269|PubMed:16443219}. Cytoplasmic granule {ECO:0000269|PubMed:15061151}. Cell membrane {ECO:0000269|PubMed:16443219}. Note=Sumoylated form is predominant in the nucleus (PubMed:15247255). Stored in alpha granules in platelets (PubMed:15061151). {ECO:0000269|PubMed:16443219}.	NA	NA	NA
Q13634	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 54..608;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 637..790;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 609..636;  /note=Helical;  /evidence=ECO:0000255
Q8TE57	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q99650	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 28..740;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 762..979;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 741..761;  /note=Helical;  /evidence=ECO:0000255
P12544	SUBCELLULAR LOCATION: [Isoform alpha]: Secreted {ECO:0000269|PubMed:3257574}. Cytoplasmic granule {ECO:0000269|PubMed:3257574}. Note=Delivered into the target cell by perforin. {ECO:0000269|PubMed:20038786, ECO:0000269|PubMed:32299851}.	NA	NA	NA
P10915	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P24387	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P19021	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:P10731}; Single-pass membrane protein {ECO:0000250|UniProtKB:P10731}. Note=Secretory granules. {ECO:0000250|UniProtKB:P10731}.; SUBCELLULAR LOCATION: [Isoform 1]: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted. Note=Secreted from secretory granules.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted. Note=Secreted from secretory granules.	NA	TOPO_DOM 31..863;  /note=Intragranular;  /evidence=ECO:0000255; TOPO_DOM 888..973;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 864..887;  /note=Helical;  /evidence=ECO:0000255
Q969D9	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11418668}.	NA	NA	NA
Q96KG7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27170117}; Single-pass type I membrane protein. Cell projection, phagocytic cup {ECO:0000269|PubMed:17205124}. Note=Enriched at the sites of contact with apoptotic thymocyte cells (PubMed:17205124). Forms an irregular, mosaic-like adhesion pattern in region of the cell surface that becomes firmely fixed to the substrate. Expressed at the cell surface in clusters around cell corpses during engulfment. During the engulfment of apoptotic thymocytes, recruited at the bottom of the forming phagocytic cup (PubMed:17498693). Colocalizes with ABCA1 in absence of any phagocytic challenge (PubMed:17205124). Does not localize within lamellipodia (PubMed:17498693). Does not localize with MEGF11 (PubMed:17498693). {ECO:0000269|PubMed:17205124, ECO:0000269|PubMed:17498693}.	NA	TOPO_DOM 26..857;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 879..1140;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 858..878;  /note=Helical;  /evidence=ECO:0000255
Q8TE59	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
O95715	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O14960	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8877413}. Secreted {ECO:0000269|PubMed:8877413}.	NA	NA	NA
P15248	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9BXJ5	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P58062	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8NBM8	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9NXC2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q13093	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:10066756, ECO:0000269|PubMed:11590221, ECO:0000269|PubMed:12821559, ECO:0000269|PubMed:18434304}. Note=Associates with both LDL and HDL particles in plasma (PubMed:11590221, PubMed:12821559, PubMed:18434304, PubMed:10066756). Mainly associates with proinflammatory electronegative LDL particles (PubMed:12821559). {ECO:0000269|PubMed:10066756, ECO:0000269|PubMed:11590221, ECO:0000269|PubMed:12821559, ECO:0000269|PubMed:18434304}.	NA	NA	NA
Q8IX30	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15234972}. Cell surface {ECO:0000269|PubMed:15234972}.	NA	NA	NA
Q6IWH7	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:14981236, ECO:0000269|PubMed:17308099, ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:22946059}; Multi-pass membrane protein {ECO:0000255}. Cell junction {ECO:0000269|PubMed:17308099}. Endoplasmic reticulum {ECO:0000269|PubMed:22075693}. Note=Concentrates at sites of cell-cell contact (PubMed:17308099). Shows an intracellular localization according to PubMed:22075693 and PubMed:20056604. {ECO:0000269|PubMed:17308099, ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:22075693}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytosol {ECO:0000269|PubMed:14981236}.	NA	TOPO_DOM 1..355;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 377..420;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 442..499;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 521..550;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 572..588;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 610..714;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 736..763;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 785..843;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 865..933;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 356..376;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 421..441;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 500..520;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 551..571;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 589..609;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 715..735;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 764..784;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 844..864;  /note=Helical;  /evidence=ECO:0000255
